epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7342,6.29804,67.2605,4.64729,0,0,0,0,6.06012,5.47904,4.15972,0.0874,0.0014,0.0014
2,37.691,5.70616,48.1293,4.06067,0,0,0,0,5.98963,5.88269,4.03276,0.0738904,0.00289043,0.00289043
3,47.6396,3.34422,7.69615,2.51183,0,0,0,0,5.96898,5.97897,3.91454,0.060371,0.00437096,0.00437096
4,57.2247,3.02691,5.40313,1.71866,0,0,0,0,5.60188,5.91432,2.87147,0.0468416,0.00584159,0.00584159
5,67.0604,2.77807,4.44619,1.38885,0,0,0,0,2.69406,5.04857,1.5215,0.0333023,0.00730232,0.00730232
6,78.7792,2.4759,3.98679,1.25057,0.0128,0.08727,0.00984,0.0038,2.31253,4.07215,1.32289,0.0197531,0.00875315,0.00875315
7,91.2686,2.22508,3.7,1.1709,0.009,0.38418,0.01499,0.007,1.94321,3.25593,1.11667,0.009802,0.009802,0.009802
8,104.367,2.10247,3.56453,1.08147,0.29032,0.07458,0.02056,0.00938,1.74324,3.00143,1.03715,0.009769,0.009769,0.009769
9,116.975,1.87041,3.30642,1.0212,0.2601,0.0846,0.03633,0.01596,2.01942,2.83811,1.08852,0.009736,0.009736,0.009736
10,129.816,1.76537,3.08496,0.99455,0.20822,0.14199,0.05577,0.03172,1.51835,2.77691,0.95794,0.009703,0.009703,0.009703
11,142.771,1.63046,2.85652,0.98039,0.16422,0.2194,0.07361,0.04033,1.55839,3.28828,0.9602,0.00967,0.00967,0.00967
12,155.473,1.56735,2.66358,0.94228,0.1783,0.24656,0.09951,0.05526,1.49368,2.41567,0.94322,0.009637,0.009637,0.009637
13,168.719,1.47474,2.51337,0.94163,0.14258,0.30933,0.11879,0.06485,1.51084,3.17394,0.94897,0.009604,0.009604,0.009604
14,181.524,1.48581,2.38659,0.93219,0.23744,0.28151,0.13693,0.07948,1.35154,2.60774,0.91309,0.009571,0.009571,0.009571
15,194.22,1.43745,2.27555,0.91333,0.3284,0.27665,0.17076,0.1033,1.26469,1.97533,0.9095,0.009538,0.009538,0.009538
16,206.861,1.40928,2.22374,0.91721,0.21647,0.28884,0.17946,0.10808,1.30644,2.01179,0.90302,0.009505,0.009505,0.009505
17,219.472,1.40173,2.15343,0.90837,0.4166,0.26506,0.19543,0.11668,1.30005,1.98365,0.91019,0.009472,0.009472,0.009472
18,232.063,1.26852,2.03204,0.90611,0.32068,0.28156,0.19296,0.12042,1.25871,1.96378,0.89405,0.009439,0.009439,0.009439
19,244.828,1.33339,2.02651,0.89934,0.35609,0.28423,0.23366,0.14688,1.1673,1.75081,0.88115,0.009406,0.009406,0.009406
20,257.472,1.26744,1.9985,0.89154,0.33288,0.34142,0.24007,0.15722,1.14396,1.76343,0.88341,0.009373,0.009373,0.009373
21,270.096,1.29384,1.85768,0.88698,0.3458,0.31572,0.23473,0.14946,1.19403,1.77382,0.88185,0.00934,0.00934,0.00934
22,282.875,1.26644,1.88512,0.89254,0.3622,0.34829,0.26553,0.17338,1.1233,1.63338,0.88731,0.009307,0.009307,0.009307
23,295.533,1.21531,1.82438,0.87814,0.28984,0.3406,0.27782,0.18556,1.09081,1.5481,0.87274,0.009274,0.009274,0.009274
24,308.235,1.2362,1.77416,0.89422,0.44127,0.36319,0.28744,0.18022,1.10763,1.59155,0.87448,0.009241,0.009241,0.009241
25,321.063,1.19997,1.74912,0.87867,0.384,0.33893,0.29028,0.18683,1.09787,1.6447,0.87322,0.009208,0.009208,0.009208
26,333.594,1.17699,1.69964,0.8794,0.31068,0.36596,0.29653,0.20247,1.05461,1.56285,0.8715,0.009175,0.009175,0.009175
27,346.059,1.17771,1.76138,0.86809,0.41758,0.32759,0.30163,0.20952,1.05785,1.59069,0.87082,0.009142,0.009142,0.009142
28,358.835,1.21008,1.67604,0.87314,0.35096,0.34289,0.27229,0.18328,1.05473,1.78082,0.87066,0.009109,0.009109,0.009109
29,371.571,1.15954,1.65318,0.86265,0.40573,0.37986,0.3183,0.21081,1.06015,1.53013,0.8715,0.009076,0.009076,0.009076
30,384.164,1.15115,1.61763,0.8736,0.40486,0.37517,0.32141,0.21555,1.05636,1.53036,0.87112,0.009043,0.009043,0.009043
31,397.078,1.16178,1.60831,0.8735,0.2984,0.40001,0.32369,0.22018,1.00865,1.54149,0.86112,0.00901,0.00901,0.00901
32,409.774,1.19178,1.63242,0.8728,0.42029,0.36182,0.32947,0.22215,1.00836,1.5038,0.86424,0.008977,0.008977,0.008977
33,422.304,1.11011,1.59596,0.87558,0.38392,0.37174,0.3379,0.23864,0.98951,1.46971,0.86233,0.008944,0.008944,0.008944
34,435.091,1.12271,1.5276,0.87189,0.32563,0.4154,0.34106,0.23542,0.99392,1.4595,0.86413,0.008911,0.008911,0.008911
35,447.719,1.10936,1.56477,0.87038,0.38108,0.38883,0.35287,0.24852,0.97988,1.36156,0.85861,0.008878,0.008878,0.008878
36,460.181,1.12352,1.53961,0.87056,0.46483,0.35496,0.33052,0.23081,0.99393,1.56985,0.86333,0.008845,0.008845,0.008845
37,472.876,1.09141,1.50285,0.85802,0.42231,0.39632,0.37755,0.26208,1.00217,1.36822,0.85541,0.008812,0.008812,0.008812
38,485.475,1.09193,1.50463,0.86141,0.34547,0.42573,0.36529,0.25057,0.9925,1.42055,0.86352,0.008779,0.008779,0.008779
39,498.07,1.0903,1.46631,0.86859,0.3923,0.41183,0.38381,0.26401,0.99316,1.3372,0.85458,0.008746,0.008746,0.008746
40,510.897,1.0816,1.45414,0.85708,0.40403,0.40924,0.37595,0.26184,0.974,1.35526,0.85951,0.008713,0.008713,0.008713
41,523.353,1.10491,1.45474,0.85822,0.4017,0.4021,0.37852,0.26597,0.95825,1.4531,0.85504,0.00868,0.00868,0.00868
42,536.031,1.08111,1.46498,0.84975,0.43147,0.40088,0.38238,0.26775,0.96521,1.41036,0.8593,0.008647,0.008647,0.008647
43,548.739,1.08678,1.45081,0.85497,0.40845,0.40623,0.38626,0.27654,0.96083,1.34981,0.85251,0.008614,0.008614,0.008614
44,561.377,1.09091,1.36454,0.86342,0.4132,0.38961,0.3679,0.25455,0.98004,1.48198,0.85747,0.008581,0.008581,0.008581
45,574.114,1.08534,1.41486,0.85625,0.38959,0.42429,0.38959,0.27253,0.97821,1.4413,0.85563,0.008548,0.008548,0.008548
46,586.838,1.08127,1.37457,0.84732,0.42953,0.42395,0.4058,0.28672,0.94962,1.25823,0.85026,0.008515,0.008515,0.008515
47,599.327,1.0835,1.34618,0.85439,0.41886,0.41675,0.39314,0.27985,0.9556,1.36253,0.85273,0.008482,0.008482,0.008482
48,611.948,1.09798,1.36712,0.85413,0.48878,0.41779,0.41517,0.29386,0.94627,1.24609,0.85202,0.008449,0.008449,0.008449
49,624.597,1.04594,1.35691,0.85207,0.44036,0.41987,0.40189,0.28319,0.97421,1.28184,0.84605,0.008416,0.008416,0.008416
50,637.234,1.03399,1.28216,0.84784,0.46807,0.43092,0.42295,0.29449,0.94186,1.24837,0.85044,0.008383,0.008383,0.008383
51,649.78,1.03803,1.29159,0.85255,0.46437,0.40146,0.4004,0.28571,0.94353,1.4025,0.85309,0.00835,0.00835,0.00835
52,662.677,1.058,1.31472,0.85331,0.43508,0.44904,0.42486,0.30185,0.92835,1.22461,0.84654,0.008317,0.008317,0.008317
53,675.241,1.08171,1.35081,0.85616,0.43442,0.43313,0.42598,0.29495,0.96772,1.23601,0.85187,0.008284,0.008284,0.008284
54,687.803,1.0447,1.27994,0.8519,0.43484,0.464,0.44457,0.3156,0.93898,1.24579,0.85306,0.008251,0.008251,0.008251
55,700.431,1.00294,1.30649,0.85132,0.45908,0.40441,0.40546,0.28576,0.94515,1.34427,0.84939,0.008218,0.008218,0.008218
56,713.037,1.03956,1.29389,0.85169,0.44628,0.46442,0.44987,0.32093,0.91379,1.17675,0.84462,0.008185,0.008185,0.008185
57,725.703,1.03881,1.2736,0.85804,0.4722,0.45236,0.45737,0.3239,0.94829,1.16138,0.84991,0.008152,0.008152,0.008152
