epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.8134,1.60422,6.70541,0.92659,0,0,0,0,1.22297,5.03028,0.83439,0.0706667,0.00325926,0.00325926
2,84.0348,1.50105,4.71711,0.8831,0.06073,0.01366,0.0359,0.02611,1.25669,4.45462,0.84851,0.0406449,0.00657084,0.00657084
3,122.716,1.49621,3.88294,0.89158,0.33082,0.16268,0.10607,0.06417,1.35009,2.63014,0.90153,0.0106012,0.00986041,0.00986041
4,161.195,1.41424,3.33538,0.8938,0.33896,0.22349,0.13281,0.07778,1.29493,5.01689,0.89297,0.009901,0.009901,0.009901
5,198.84,1.29815,2.81528,0.87276,0.41219,0.24814,0.16764,0.10341,1.24221,2.96629,0.87227,0.009868,0.009868,0.009868
6,233.533,1.2647,2.48212,0.86612,0.37975,0.2689,0.20778,0.13074,1.11867,2.16619,0.85564,0.009835,0.009835,0.009835
7,267.832,1.19691,2.20883,0.85971,0.46568,0.26753,0.23367,0.15566,1.10682,2.01104,0.85598,0.009802,0.009802,0.009802
8,299.591,1.16147,2.00228,0.85422,0.32936,0.37484,0.2797,0.18651,1.04293,2.09633,0.84659,0.009769,0.009769,0.009769
9,330.77,1.15002,1.84952,0.85254,0.40082,0.34848,0.26841,0.18385,1.03655,1.81541,0.84665,0.009736,0.009736,0.009736
10,362.668,1.14063,1.73825,0.8518,0.54168,0.28048,0.29681,0.19723,1.0666,2.15127,0.85075,0.009703,0.009703,0.009703
11,393.692,1.11206,1.66168,0.84626,0.38567,0.36458,0.31187,0.21114,1.02217,1.52454,0.83871,0.00967,0.00967,0.00967
12,425.833,1.09509,1.57146,0.84416,0.37451,0.31094,0.25968,0.17863,1.00498,1.72571,0.84128,0.009637,0.009637,0.009637
