epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0344,4.48996,12.3334,3.67887,0,0,0,0,6.33849,5.35157,3.90283,0.0706667,0.00325926,0.00325926
2,43.0457,2.56142,1.88374,1.6029,0.58946,0.11798,0.34858,0.15966,2.24349,3.96195,1.29911,0.0406449,0.00657084,0.00657084
3,64.4441,1.97389,1.38469,1.18109,0.67008,0.32376,0.41052,0.18438,1.92448,1.79902,1.03278,0.0106012,0.00986041,0.00986041
4,86.0289,1.71494,1.1732,1.06218,0.6126,0.40892,0.40927,0.1771,1.96042,1.61574,1.0575,0.009901,0.009901,0.009901
5,107.662,1.52605,0.994,0.99411,0.6571,0.514,0.5488,0.26976,1.71039,1.76801,0.97716,0.009868,0.009868,0.009868
6,129.257,1.41323,0.87859,0.96932,0.71814,0.54675,0.59337,0.27557,1.58378,1.43209,0.92161,0.009835,0.009835,0.009835
7,150.895,1.34998,0.81987,0.94968,0.77658,0.54864,0.61984,0.33467,1.3678,1.32612,0.8916,0.009802,0.009802,0.009802
8,172.17,1.26722,0.74273,0.94185,0.77735,0.56868,0.64163,0.32362,1.5255,1.00693,0.90997,0.009769,0.009769,0.009769
9,193.548,1.23678,0.71505,0.92513,0.77046,0.58773,0.65651,0.35436,1.38954,1.02158,0.90036,0.009736,0.009736,0.009736
10,215.068,1.18564,0.69694,0.90889,0.77641,0.59241,0.66505,0.35097,1.3995,1.00429,0.89747,0.009703,0.009703,0.009703
11,236.445,1.16028,0.65978,0.90575,0.74014,0.62441,0.67901,0.37648,1.30033,0.97407,0.88526,0.00967,0.00967,0.00967
12,257.861,1.12069,0.65262,0.90754,0.76541,0.6069,0.69001,0.39354,1.28323,0.97759,0.88411,0.009637,0.009637,0.009637
13,279.313,1.09142,0.6298,0.89256,0.82519,0.63207,0.7294,0.43231,1.25601,0.8798,0.87535,0.009604,0.009604,0.009604
14,300.677,1.07761,0.6098,0.88947,0.77001,0.6531,0.7062,0.41207,1.24744,0.92314,0.87265,0.009571,0.009571,0.009571
15,322.063,1.06919,0.60755,0.89009,0.81674,0.6407,0.72352,0.42539,1.21582,0.8466,0.87011,0.009538,0.009538,0.009538
16,343.392,1.03969,0.57313,0.87904,0.78573,0.60326,0.69182,0.4251,1.17004,0.91298,0.86135,0.009505,0.009505,0.009505
17,364.803,1.02962,0.55853,0.87718,0.81658,0.63133,0.71641,0.42904,1.21472,0.85413,0.86587,0.009472,0.009472,0.009472
18,386.073,1.01309,0.55971,0.88059,0.78474,0.62209,0.7012,0.42193,1.21916,0.84441,0.86719,0.009439,0.009439,0.009439
19,407.376,1.01006,0.54838,0.87423,0.81209,0.63044,0.73349,0.44191,1.20127,0.80816,0.86908,0.009406,0.009406,0.009406
20,428.894,0.99593,0.53852,0.87004,0.80258,0.6092,0.71222,0.43897,1.14024,0.8712,0.86122,0.009373,0.009373,0.009373
21,450.235,0.98062,0.53266,0.86892,0.7923,0.63032,0.71092,0.42417,1.17062,0.90991,0.86634,0.00934,0.00934,0.00934
22,471.521,0.97492,0.52384,0.8767,0.80667,0.6382,0.72261,0.39614,1.34461,0.88494,0.8803,0.009307,0.009307,0.009307
23,493.021,0.97492,0.52255,0.87034,0.79554,0.63536,0.71828,0.44869,1.15999,0.85499,0.85905,0.009274,0.009274,0.009274
24,514.343,0.96566,0.51238,0.86627,0.82452,0.65835,0.7392,0.45212,1.16448,0.83642,0.85888,0.009241,0.009241,0.009241
25,535.68,0.95947,0.51821,0.86617,0.80943,0.62158,0.70835,0.43116,1.13668,0.83009,0.85305,0.009208,0.009208,0.009208
26,557.18,0.9444,0.50505,0.85978,0.84031,0.62962,0.73587,0.45593,1.1226,0.86068,0.85423,0.009175,0.009175,0.009175
27,578.492,0.94332,0.50101,0.8624,0.84233,0.66324,0.75797,0.45826,1.17652,0.79816,0.86212,0.009142,0.009142,0.009142
28,599.807,0.93123,0.49292,0.86161,0.82286,0.67288,0.74726,0.46732,1.09798,0.80654,0.8505,0.009109,0.009109,0.009109
29,621.121,0.93227,0.48995,0.85853,0.80591,0.63306,0.73239,0.4664,1.11511,0.83875,0.85142,0.009076,0.009076,0.009076
30,642.586,0.92989,0.48682,0.85792,0.79756,0.66594,0.73225,0.45145,1.1422,0.92798,0.85871,0.009043,0.009043,0.009043
31,663.865,0.92469,0.48824,0.86126,0.8216,0.65943,0.7454,0.47869,1.07483,0.76252,0.84784,0.00901,0.00901,0.00901
32,685.145,0.91602,0.47431,0.84917,0.79552,0.68322,0.75688,0.48339,1.05484,0.747,0.84253,0.008977,0.008977,0.008977
33,706.608,0.89521,0.47452,0.85343,0.84487,0.66556,0.75444,0.47841,1.08794,0.80465,0.85015,0.008944,0.008944,0.008944
34,727.893,0.90135,0.47357,0.85707,0.81488,0.65091,0.73655,0.46801,1.07525,0.79407,0.84746,0.008911,0.008911,0.008911
35,749.174,0.89134,0.4582,0.85772,0.8334,0.6661,0.75445,0.48416,1.07384,0.77901,0.84642,0.008878,0.008878,0.008878
36,770.598,0.87921,0.46113,0.85591,0.81445,0.66339,0.7374,0.46091,1.09395,0.82313,0.84883,0.008845,0.008845,0.008845
37,791.899,0.88394,0.46275,0.85007,0.8017,0.67062,0.73808,0.46251,1.12985,0.8326,0.85123,0.008812,0.008812,0.008812
38,813.201,0.88859,0.45976,0.85077,0.807,0.65998,0.74861,0.48764,1.05473,0.76547,0.84572,0.008779,0.008779,0.008779
39,834.66,0.89307,0.46569,0.84805,0.78078,0.68789,0.74039,0.48237,1.04333,0.75195,0.84191,0.008746,0.008746,0.008746
40,855.994,0.88698,0.46398,0.84576,0.81451,0.65613,0.74219,0.46732,1.0959,0.78246,0.8507,0.008713,0.008713,0.008713
41,877.307,0.86725,0.44843,0.847,0.8195,0.67416,0.76064,0.49003,1.06343,0.80705,0.84417,0.00868,0.00868,0.00868
42,898.578,0.86365,0.44672,0.84804,0.82801,0.64843,0.73346,0.45828,1.12575,0.75377,0.85161,0.008647,0.008647,0.008647
43,920.022,0.85648,0.44724,0.84444,0.81844,0.69136,0.77043,0.50155,1.05736,0.73829,0.84655,0.008614,0.008614,0.008614
44,941.309,0.86501,0.44627,0.84529,0.81005,0.67432,0.74896,0.48435,1.07661,0.76459,0.84294,0.008581,0.008581,0.008581
45,962.565,0.86251,0.44543,0.84793,0.81861,0.67124,0.76062,0.49175,1.06926,0.77146,0.84349,0.008548,0.008548,0.008548
46,983.966,0.85236,0.43645,0.84967,0.82077,0.66126,0.75205,0.49034,1.06152,0.86389,0.84615,0.008515,0.008515,0.008515
47,1005.35,0.85098,0.43564,0.84496,0.85425,0.67465,0.76457,0.49527,1.04687,0.75505,0.83978,0.008482,0.008482,0.008482
48,1026.76,0.85211,0.43236,0.84653,0.8189,0.7007,0.7655,0.4999,1.03208,0.73438,0.84058,0.008449,0.008449,0.008449
49,1048.26,0.84059,0.43117,0.83879,0.83135,0.68494,0.75946,0.48941,1.06369,0.7709,0.84423,0.008416,0.008416,0.008416
50,1069.64,0.84447,0.42984,0.83743,0.81256,0.66668,0.745,0.47484,1.0932,0.84971,0.84795,0.008383,0.008383,0.008383
51,1090.94,0.83505,0.42409,0.84108,0.85907,0.65599,0.77107,0.50594,1.04466,0.78665,0.83883,0.00835,0.00835,0.00835
52,1112.44,0.83037,0.42931,0.84326,0.84313,0.69391,0.78082,0.50418,1.03687,0.75668,0.83981,0.008317,0.008317,0.008317
53,1133.77,0.82604,0.42251,0.84063,0.86202,0.6443,0.73286,0.477,1.03262,0.74073,0.84254,0.008284,0.008284,0.008284
54,1155.14,0.83219,0.42436,0.84341,0.82875,0.69664,0.76758,0.49968,1.0373,0.72341,0.84038,0.008251,0.008251,0.008251
55,1176.61,0.82241,0.41866,0.841,0.83914,0.68092,0.77659,0.51626,1.02977,0.73772,0.84005,0.008218,0.008218,0.008218
