epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6778,4.95252,14.3215,3.9109,0,0,0,0,6.30753,5.53023,3.9381,0.0712,0.0032,0.0032
2,35.8159,2.99899,2.39672,1.99308,0,0,0,0,5.10857,5.23424,2.30515,0.0414786,0.00647855,0.00647855
3,53.2074,2.42985,1.79846,1.41076,0.12994,0.37146,0.20735,0.07593,2.41823,3.09622,1.27032,0.0117353,0.00973532,0.00973532
4,67.6266,2.02332,1.48805,1.19177,0.59223,0.31524,0.37017,0.15514,2.02606,1.63299,1.07756,0.009901,0.009901,0.009901
5,82.77,1.76015,1.23047,1.09373,0.57054,0.32618,0.35129,0.16178,1.91232,1.51205,1.04259,0.009868,0.009868,0.009868
6,97.4662,1.63517,1.10701,1.03546,0.60862,0.37577,0.41461,0.20026,1.81223,1.55739,0.99919,0.009835,0.009835,0.009835
7,113.909,1.53227,1.00853,1.01563,0.67584,0.44878,0.48694,0.23322,1.75518,1.34475,0.97093,0.009802,0.009802,0.009802
8,132.14,1.47502,0.95713,0.99463,0.74055,0.41266,0.48996,0.25529,1.67489,1.41793,0.95777,0.009769,0.009769,0.009769
9,150.026,1.45374,0.90674,0.96916,0.67376,0.46853,0.50946,0.25514,1.6742,1.32312,0.96256,0.009736,0.009736,0.009736
10,166.405,1.40306,0.88615,0.96386,0.69142,0.44207,0.51239,0.28007,1.50206,1.25808,0.92519,0.009703,0.009703,0.009703
11,182.443,1.35729,0.85045,0.95432,0.7315,0.48892,0.54656,0.26821,1.64988,1.16333,0.94768,0.00967,0.00967,0.00967
12,197.947,1.30959,0.80963,0.94449,0.7385,0.50496,0.56812,0.31275,1.47177,1.15647,0.9231,0.009637,0.009637,0.009637
13,213.319,1.31233,0.79187,0.93645,0.71392,0.50882,0.56465,0.31324,1.45987,1.12914,0.92121,0.009604,0.009604,0.009604
