epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6698,4.0745,5.80871,3.49077,0,0,0,0,4.45923,5.3997,3.26715,0.0704412,0.00328431,0.00328431
2,60.5344,2.34034,2.20703,1.88983,0.37712,0.27946,0.24913,0.10015,2.17451,2.10228,1.52553,0.0404193,0.00659581,0.00659581
3,89.5092,1.92126,1.71864,1.49437,0.39875,0.44848,0.39736,0.17697,1.87372,9.95015,1.36189,0.0103755,0.0098853,0.0098853
4,119.487,1.70308,1.46384,1.35858,0.38035,0.43608,0.36602,0.16265,1.92807,16.9215,1.42208,0.009901,0.009901,0.009901
5,147.566,1.54664,1.24942,1.24777,0.64979,0.43979,0.48379,0.25896,1.61761,2.54899,1.19187,0.009868,0.009868,0.009868
6,175.855,1.47183,1.14536,1.20255,0.70325,0.48669,0.54008,0.29564,1.56135,2.33013,1.1447,0.009835,0.009835,0.009835
7,203.669,1.41174,1.05538,1.15691,0.73561,0.47953,0.54697,0.30793,1.53444,1.5485,1.13562,0.009802,0.009802,0.009802
8,231.555,1.35473,0.98734,1.13515,0.69301,0.49885,0.54931,0.29623,1.61475,1.47604,1.15142,0.009769,0.009769,0.009769
9,259.526,1.30744,0.93173,1.10899,0.71132,0.50724,0.57384,0.30985,1.53013,1.39247,1.11239,0.009736,0.009736,0.009736
10,287.345,1.28144,0.90605,1.09596,0.7221,0.51847,0.57951,0.34283,1.40618,1.30527,1.06284,0.009703,0.009703,0.009703
11,315.339,1.24593,0.86788,1.08143,0.75243,0.51211,0.57988,0.32577,1.49847,1.36027,1.10456,0.00967,0.00967,0.00967
12,343.285,1.22279,0.84021,1.06849,0.71908,0.52172,0.58083,0.34086,1.38395,1.3122,1.05289,0.009637,0.009637,0.009637
13,371.141,1.19815,0.81471,1.06273,0.74218,0.5453,0.6075,0.36073,1.36421,1.24206,1.0542,0.009604,0.009604,0.009604
14,398.996,1.18289,0.79326,1.0489,0.79348,0.55452,0.63352,0.37281,1.36826,1.16839,1.04709,0.009571,0.009571,0.009571
15,426.733,1.16334,0.77277,1.03968,0.73164,0.53356,0.61021,0.3573,1.39174,1.20487,1.06932,0.009538,0.009538,0.009538
16,454.522,1.15962,0.75576,1.03668,0.7722,0.52824,0.60111,0.36204,1.38702,1.17275,1.05595,0.009505,0.009505,0.009505
17,482.556,1.1338,0.73967,1.0332,0.73868,0.54038,0.62984,0.35321,1.40959,1.15633,1.05836,0.009472,0.009472,0.009472
18,510.34,1.13312,0.72814,1.02689,0.79405,0.5402,0.63216,0.36949,1.33336,1.11722,1.02984,0.009439,0.009439,0.009439
19,538.32,1.10731,0.70415,1.02147,0.82384,0.56078,0.65835,0.40118,1.30789,1.11946,1.03206,0.009406,0.009406,0.009406
20,566.06,1.09773,0.69662,1.0159,0.77168,0.55689,0.63982,0.38771,1.32942,1.13856,1.02753,0.009373,0.009373,0.009373
21,593.796,1.08836,0.68738,1.01314,0.75914,0.52973,0.62099,0.37618,1.34292,1.18164,1.0347,0.00934,0.00934,0.00934
22,621.642,1.08446,0.67664,1.01064,0.75116,0.53033,0.61584,0.37546,1.34438,1.172,1.04233,0.009307,0.009307,0.009307
23,649.502,1.07004,0.67562,1.00238,0.80932,0.5625,0.66898,0.39826,1.33615,1.10699,1.03258,0.009274,0.009274,0.009274
24,677.326,1.06998,0.65956,0.99917,0.79086,0.56354,0.65625,0.39917,1.28482,1.10363,1.01772,0.009241,0.009241,0.009241
25,705.011,1.07271,0.66404,1.00371,0.75361,0.58031,0.65906,0.40381,1.30496,1.05045,1.01934,0.009208,0.009208,0.009208
26,732.755,1.05948,0.64863,0.99494,0.73012,0.5841,0.65414,0.40467,1.28266,1.10266,1.00828,0.009175,0.009175,0.009175
27,760.685,1.06022,0.6397,0.99761,0.75657,0.60013,0.66733,0.41093,1.30382,1.03572,1.01403,0.009142,0.009142,0.009142
28,788.467,1.04668,0.63043,0.99388,0.77131,0.57742,0.66859,0.39854,1.29928,1.08013,1.01582,0.009109,0.009109,0.009109
29,816.334,1.04517,0.63241,0.99353,0.76902,0.54369,0.658,0.40331,1.30748,1.16353,1.02599,0.009076,0.009076,0.009076
30,843.942,1.04523,0.62726,0.98874,0.78839,0.59451,0.68594,0.41229,1.28976,1.0616,1.00793,0.009043,0.009043,0.009043
31,871.686,1.04157,0.62113,0.99133,0.74178,0.58298,0.64494,0.41191,1.22951,1.15378,0.98819,0.00901,0.00901,0.00901
32,899.552,1.02902,0.61036,0.98366,0.76595,0.59978,0.66926,0.41949,1.26366,0.99832,1.00395,0.008977,0.008977,0.008977
33,927.25,1.0276,0.61587,0.98274,0.79768,0.59135,0.68559,0.42619,1.26978,1.10345,1.00466,0.008944,0.008944,0.008944
34,954.928,1.01916,0.60622,0.98759,0.77753,0.60892,0.68251,0.4287,1.24147,1.08078,0.99574,0.008911,0.008911,0.008911
35,982.778,1.01479,0.6068,0.98036,0.75709,0.61532,0.6831,0.4334,1.22206,0.97064,0.99095,0.008878,0.008878,0.008878
36,1010.47,1.01872,0.59506,0.97747,0.78972,0.55703,0.66748,0.42287,1.23478,1.09067,0.99629,0.008845,0.008845,0.008845
37,1038.32,1.01442,0.59109,0.97778,0.80825,0.6211,0.68909,0.4278,1.24438,0.96242,0.98947,0.008812,0.008812,0.008812
38,1066.05,0.99913,0.57561,0.97359,0.77612,0.61492,0.68851,0.42859,1.24638,0.98961,1.00057,0.008779,0.008779,0.008779
39,1093.74,1.00866,0.58525,0.97268,0.79274,0.57143,0.66665,0.41429,1.27053,1.01903,1.00339,0.008746,0.008746,0.008746
40,1121.58,0.9999,0.58328,0.97505,0.77783,0.60438,0.69519,0.43086,1.22947,1.05503,0.99211,0.008713,0.008713,0.008713
41,1149.25,0.99205,0.57437,0.97015,0.79134,0.61353,0.69605,0.43924,1.21578,0.98852,0.98921,0.00868,0.00868,0.00868
42,1176.95,0.9877,0.56857,0.97174,0.82174,0.59747,0.70961,0.44264,1.22306,1.02102,0.9892,0.008647,0.008647,0.008647
43,1204.84,0.98783,0.5684,0.96646,0.79884,0.61969,0.6982,0.44507,1.22121,0.95672,0.99144,0.008614,0.008614,0.008614
44,1232.63,0.99162,0.56403,0.96423,0.80894,0.61021,0.70676,0.45068,1.2144,0.95444,0.98894,0.008581,0.008581,0.008581
45,1260.33,0.99435,0.57091,0.9714,0.80748,0.61675,0.6865,0.43107,1.21054,1.00276,0.98027,0.008548,0.008548,0.008548
46,1288.17,0.98223,0.56659,0.96691,0.79074,0.62893,0.70076,0.43886,1.23022,0.96345,0.99642,0.008515,0.008515,0.008515
47,1315.83,0.98143,0.5613,0.96438,0.77181,0.62818,0.70996,0.44989,1.21682,1.01145,0.98666,0.008482,0.008482,0.008482
48,1343.56,0.97261,0.56108,0.96057,0.80422,0.6186,0.71219,0.44167,1.2178,1.05072,0.98335,0.008449,0.008449,0.008449
49,1371.25,0.97119,0.55305,0.96114,0.78118,0.65088,0.7217,0.45609,1.19112,0.9457,0.97642,0.008416,0.008416,0.008416
50,1398.94,0.97497,0.557,0.96128,0.81571,0.63585,0.72661,0.45463,1.25043,1.0015,0.99393,0.008383,0.008383,0.008383
51,1426.75,0.96255,0.54469,0.9576,0.77664,0.60492,0.68349,0.43185,1.22199,0.99191,0.98913,0.00835,0.00835,0.00835
52,1454.46,0.96337,0.54674,0.96104,0.77663,0.61798,0.69512,0.43615,1.2177,0.98256,0.98921,0.008317,0.008317,0.008317
53,1482.38,0.95165,0.53491,0.95883,0.81429,0.63284,0.73099,0.46013,1.1797,0.97602,0.97345,0.008284,0.008284,0.008284
54,1510.01,0.96254,0.53795,0.95514,0.80815,0.62986,0.71701,0.45022,1.25711,1.01864,0.99988,0.008251,0.008251,0.008251
55,1537.7,0.95874,0.53862,0.95641,0.79211,0.62701,0.71928,0.46572,1.17274,1.02009,0.97275,0.008218,0.008218,0.008218
56,1565.6,0.94663,0.53213,0.95442,0.79555,0.6322,0.70609,0.44738,1.218,0.9749,0.98564,0.008185,0.008185,0.008185
57,1593.29,0.95065,0.52925,0.95123,0.77934,0.63886,0.70066,0.43998,1.23311,0.96258,0.98726,0.008152,0.008152,0.008152
58,1620.99,0.94985,0.53051,0.95501,0.80954,0.61607,0.70195,0.44958,1.19607,1.00295,0.98068,0.008119,0.008119,0.008119
59,1648.83,0.94584,0.52691,0.95167,0.7896,0.61746,0.69268,0.44007,1.18984,0.9952,0.98277,0.008086,0.008086,0.008086
60,1676.54,0.94276,0.52661,0.95136,0.82366,0.63227,0.71303,0.45355,1.19419,0.98103,0.97732,0.008053,0.008053,0.008053
61,1704.4,0.94909,0.52543,0.95044,0.81997,0.61502,0.70911,0.45194,1.19487,1.02629,0.97843,0.00802,0.00802,0.00802
62,1732.02,0.9493,0.53026,0.94782,0.81544,0.64968,0.7349,0.47041,1.17953,0.91938,0.97515,0.007987,0.007987,0.007987
63,1759.69,0.93446,0.51938,0.9445,0.81415,0.6634,0.73566,0.46798,1.18544,0.92758,0.9756,0.007954,0.007954,0.007954
64,1787.58,0.94627,0.5281,0.953,0.77569,0.66699,0.72607,0.46296,1.19341,0.94917,0.97814,0.007921,0.007921,0.007921
65,1815.29,0.94014,0.52883,0.95219,0.82341,0.64697,0.74202,0.46681,1.19049,0.96061,0.97847,0.007888,0.007888,0.007888
66,1843,0.93807,0.5229,0.95114,0.80824,0.67182,0.74192,0.46728,1.20175,0.94009,0.97787,0.007855,0.007855,0.007855
67,1870.89,0.94257,0.52631,0.9502,0.78989,0.67411,0.73562,0.46803,1.18923,0.94898,0.98069,0.007822,0.007822,0.007822
68,1898.6,0.93756,0.51546,0.94937,0.80674,0.66723,0.73788,0.47153,1.16574,0.98136,0.96572,0.007789,0.007789,0.007789
69,1926.43,0.93192,0.51637,0.9472,0.81461,0.63844,0.7209,0.45354,1.18163,0.9798,0.9706,0.007756,0.007756,0.007756
70,1954.15,0.93431,0.51407,0.94829,0.83114,0.62039,0.71905,0.45778,1.17708,0.96399,0.97073,0.007723,0.007723,0.007723
71,1981.83,0.92666,0.51154,0.9424,0.80576,0.656,0.73687,0.47528,1.16682,1.02933,0.96775,0.00769,0.00769,0.00769
72,2009.69,0.93066,0.5102,0.94384,0.83318,0.64055,0.74073,0.47731,1.15231,0.90464,0.96248,0.007657,0.007657,0.007657
73,2037.39,0.92529,0.50426,0.94461,0.76501,0.6758,0.73401,0.46373,1.17813,0.9387,0.96977,0.007624,0.007624,0.007624
74,2065.14,0.92377,0.5113,0.94236,0.79432,0.67836,0.74249,0.47647,1.16878,0.90785,0.96853,0.007591,0.007591,0.007591
75,2092.96,0.93061,0.50707,0.94368,0.84267,0.64,0.72804,0.46721,1.16471,0.89377,0.9661,0.007558,0.007558,0.007558
76,2120.67,0.92199,0.50577,0.94248,0.81308,0.64745,0.72392,0.46567,1.15742,0.90867,0.9646,0.007525,0.007525,0.007525
77,2148.44,0.9248,0.50307,0.94052,0.82789,0.64051,0.72394,0.46197,1.17575,0.98021,0.96873,0.007492,0.007492,0.007492
78,2176.09,0.91662,0.50242,0.93996,0.8085,0.6387,0.72913,0.46542,1.18011,0.94794,0.97358,0.007459,0.007459,0.007459
79,2203.75,0.91061,0.49842,0.94008,0.82502,0.64265,0.74293,0.47599,1.18446,0.97314,0.97535,0.007426,0.007426,0.007426
80,2231.57,0.91678,0.50459,0.94148,0.81966,0.65827,0.73663,0.47162,1.15844,0.89754,0.96409,0.007393,0.007393,0.007393
81,2259.21,0.90869,0.49692,0.9382,0.83137,0.63934,0.7372,0.47544,1.15905,0.93978,0.96303,0.00736,0.00736,0.00736
82,2286.85,0.90778,0.49387,0.93303,0.84402,0.66817,0.75214,0.48306,1.15358,0.90641,0.95854,0.007327,0.007327,0.007327
83,2314.67,0.90928,0.49875,0.93607,0.83229,0.65387,0.73911,0.47361,1.16134,0.96006,0.96436,0.007294,0.007294,0.007294
84,2342.34,0.91075,0.49313,0.93557,0.80287,0.66508,0.73559,0.46853,1.16389,0.93497,0.96684,0.007261,0.007261,0.007261
85,2370.25,0.9036,0.4913,0.93695,0.80402,0.67536,0.74433,0.47657,1.15393,0.90886,0.96246,0.007228,0.007228,0.007228
86,2397.96,0.9012,0.48584,0.93436,0.84372,0.65142,0.74791,0.47431,1.16701,0.91166,0.96626,0.007195,0.007195,0.007195
87,2425.68,0.90424,0.49277,0.93986,0.84437,0.66528,0.75412,0.47254,1.17071,0.91309,0.96704,0.007162,0.007162,0.007162
88,2453.63,0.90593,0.49317,0.93558,0.82006,0.6729,0.7519,0.48064,1.15739,0.88086,0.95982,0.007129,0.007129,0.007129
89,2481.39,0.90521,0.48732,0.93176,0.84618,0.61555,0.73892,0.47322,1.16474,0.98728,0.96563,0.007096,0.007096,0.007096
90,2509.14,0.90196,0.48578,0.93482,0.86098,0.65832,0.75168,0.47795,1.14918,0.90091,0.96112,0.007063,0.007063,0.007063
91,2537,0.89895,0.48644,0.93391,0.8417,0.67237,0.76339,0.49019,1.14186,0.87365,0.95853,0.00703,0.00703,0.00703
92,2564.72,0.89741,0.49005,0.93139,0.84326,0.67447,0.76172,0.48777,1.14817,0.88458,0.95759,0.006997,0.006997,0.006997
93,2592.61,0.89454,0.48071,0.93125,0.82457,0.65916,0.74758,0.48274,1.14127,0.90471,0.95726,0.006964,0.006964,0.006964
94,2620.26,0.89457,0.48319,0.92917,0.83784,0.65331,0.751,0.48124,1.14764,0.90985,0.95776,0.006931,0.006931,0.006931
95,2647.95,0.89254,0.48139,0.92982,0.84087,0.64883,0.75386,0.48331,1.15134,0.89251,0.95911,0.006898,0.006898,0.006898
96,2675.87,0.8923,0.47915,0.93026,0.83034,0.65794,0.74833,0.48489,1.13482,0.89666,0.95506,0.006865,0.006865,0.006865
97,2703.55,0.88425,0.47878,0.924,0.80522,0.66825,0.75048,0.48556,1.15118,0.89337,0.95876,0.006832,0.006832,0.006832
98,2731.39,0.89163,0.48311,0.93171,0.81912,0.65685,0.74863,0.48547,1.14237,0.90768,0.95801,0.006799,0.006799,0.006799
99,2759.08,0.88629,0.47702,0.92703,0.84083,0.66123,0.75225,0.48787,1.13391,0.91498,0.95756,0.006766,0.006766,0.006766
100,2786.72,0.89516,0.47578,0.92963,0.81609,0.6523,0.7378,0.47563,1.14339,0.9686,0.95995,0.006733,0.006733,0.006733
101,2814.71,0.88119,0.4788,0.92729,0.81424,0.67479,0.75693,0.48222,1.1477,0.90502,0.95925,0.0067,0.0067,0.0067
