epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.2333,3.72934,7.17968,3.27381,0,0,0,0,2.74091,4.87927,2.11536,0.0705357,0.00327381,0.00327381
2,64.8785,2.11671,1.87708,1.60292,0.52895,0.39715,0.4295,0.2028,1.89708,1.66963,1.36009,0.0405139,0.00658534,0.00658534
3,93.6512,1.82426,1.555,1.30282,0.56741,0.50268,0.51877,0.26922,1.58395,4.92666,1.23604,0.0104701,0.00987487,0.00987487
4,122.129,1.62046,1.28446,1.18501,0.61917,0.49344,0.54551,0.2833,1.55575,3.91489,1.1949,0.009901,0.009901,0.009901
5,150.287,1.47956,1.09553,1.11208,0.69753,0.51267,0.58476,0.33827,1.4359,1.4574,1.09808,0.009868,0.009868,0.009868
6,178.264,1.40499,0.98858,1.06749,0.72688,0.53811,0.59855,0.34666,1.46129,1.26466,1.10039,0.009835,0.009835,0.009835
7,206.562,1.34127,0.9082,1.03701,0.7635,0.52794,0.61258,0.34207,1.5422,1.22332,1.10675,0.009802,0.009802,0.009802
8,234.434,1.28376,0.8557,1.02092,0.77999,0.55016,0.64687,0.3876,1.38843,1.30932,1.06508,0.009769,0.009769,0.009769
9,262.518,1.24355,0.80954,1.00738,0.78162,0.56617,0.64523,0.39946,1.33484,1.20418,1.03231,0.009736,0.009736,0.009736
10,290.457,1.21941,0.79023,0.99047,0.79046,0.56989,0.65938,0.39409,1.3742,1.14485,1.05303,0.009703,0.009703,0.009703
11,318.396,1.18772,0.75158,0.98587,0.73725,0.56397,0.64209,0.3878,1.39832,1.27666,1.06068,0.00967,0.00967,0.00967
12,346.324,1.16654,0.72243,0.97869,0.77154,0.58471,0.66397,0.38902,1.41711,1.14729,1.06013,0.009637,0.009637,0.009637
13,374.374,1.15185,0.71206,0.96686,0.73772,0.58104,0.64994,0.40215,1.29396,1.20972,1.02236,0.009604,0.009604,0.009604
14,402.248,1.1161,0.68044,0.96082,0.78265,0.59765,0.6707,0.4138,1.33174,1.12751,1.03432,0.009571,0.009571,0.009571
15,430.241,1.11963,0.66894,0.95898,0.78179,0.58611,0.672,0.40852,1.27064,1.12727,1.01823,0.009538,0.009538,0.009538
16,458.318,1.10562,0.65182,0.9533,0.77726,0.60847,0.68251,0.42085,1.28193,1.06324,1.0138,0.009505,0.009505,0.009505
17,486.071,1.0814,0.63922,0.94891,0.78728,0.52217,0.61424,0.39149,1.32875,1.50424,1.03731,0.009472,0.009472,0.009472
18,514.009,1.08014,0.62866,0.94518,0.76811,0.5938,0.66761,0.42671,1.27986,1.1808,1.0222,0.009439,0.009439,0.009439
19,541.859,1.05894,0.60789,0.93988,0.74446,0.58694,0.66766,0.41598,1.31083,1.19087,1.02791,0.009406,0.009406,0.009406
20,569.905,1.05363,0.61438,0.93733,0.81991,0.58557,0.67603,0.42547,1.31071,1.11723,1.02392,0.009373,0.009373,0.009373
21,597.692,1.04868,0.59558,0.93809,0.80868,0.59067,0.6877,0.42788,1.27659,1.15311,1.00613,0.00934,0.00934,0.00934
22,625.7,1.03814,0.58449,0.93735,0.76855,0.5691,0.65867,0.40913,1.32275,1.28027,1.02413,0.009307,0.009307,0.009307
23,653.495,1.02147,0.5835,0.92899,0.79474,0.61474,0.7051,0.42814,1.29325,1.0463,1.01676,0.009274,0.009274,0.009274
24,681.386,1.014,0.5727,0.92686,0.78825,0.58788,0.68083,0.43052,1.29584,1.28493,1.02219,0.009241,0.009241,0.009241
25,709.017,1.02534,0.57402,0.92906,0.78884,0.5489,0.66422,0.43224,1.27746,1.38424,1.01326,0.009208,0.009208,0.009208
26,736.75,1.00558,0.56367,0.9236,0.78981,0.56222,0.66541,0.42481,1.26105,1.19479,1.00894,0.009175,0.009175,0.009175
27,764.537,0.98981,0.55192,0.92444,0.77365,0.60033,0.69868,0.45564,1.22798,1.28524,0.99806,0.009142,0.009142,0.009142
28,792.309,0.98872,0.55102,0.92409,0.83453,0.57125,0.70094,0.4412,1.24951,1.2037,1.00548,0.009109,0.009109,0.009109
29,820.244,0.98565,0.54772,0.92228,0.81136,0.60962,0.7076,0.44482,1.27145,1.07581,1.01082,0.009076,0.009076,0.009076
30,847.906,0.97492,0.54154,0.91612,0.77592,0.53252,0.64431,0.41439,1.30154,1.42511,1.02627,0.009043,0.009043,0.009043
31,875.84,0.97978,0.53908,0.91391,0.7566,0.6009,0.69087,0.4214,1.35139,1.15966,1.04301,0.00901,0.00901,0.00901
32,903.539,0.96829,0.53125,0.9155,0.75902,0.59743,0.6825,0.44797,1.23976,1.19905,0.99972,0.008977,0.008977,0.008977
33,931.379,0.95604,0.53026,0.91218,0.75297,0.55425,0.67603,0.44045,1.24699,1.37153,1.00377,0.008944,0.008944,0.008944
34,959.133,0.96268,0.53162,0.91786,0.73669,0.55785,0.66613,0.42479,1.26421,1.31955,1.00782,0.008911,0.008911,0.008911
35,986.799,0.96616,0.53234,0.91135,0.77823,0.54712,0.65141,0.4277,1.2662,1.4892,1.00867,0.008878,0.008878,0.008878
36,1014.58,0.95835,0.52112,0.90859,0.79277,0.55447,0.6936,0.45105,1.2576,1.36578,1.00721,0.008845,0.008845,0.008845
37,1042.41,0.94074,0.51821,0.9052,0.80179,0.5911,0.68791,0.43619,1.24349,1.08769,1.00232,0.008812,0.008812,0.008812
38,1070.31,0.94752,0.51536,0.90937,0.81861,0.61478,0.71702,0.46129,1.2175,1.04964,0.9963,0.008779,0.008779,0.008779
39,1098,0.93616,0.50945,0.90477,0.78897,0.60508,0.70434,0.45244,1.25277,1.23079,1.00256,0.008746,0.008746,0.008746
40,1125.93,0.93016,0.50893,0.9032,0.80654,0.53568,0.66488,0.42856,1.2305,1.30461,1.00479,0.008713,0.008713,0.008713
41,1153.63,0.93035,0.50171,0.90076,0.84305,0.56308,0.71628,0.46266,1.26857,1.28338,1.00673,0.00868,0.00868,0.00868
42,1181.5,0.92129,0.49835,0.90187,0.78433,0.59969,0.69782,0.44815,1.24522,1.15775,1.00217,0.008647,0.008647,0.008647
43,1209.27,0.92171,0.49763,0.90038,0.80956,0.59876,0.71655,0.47025,1.21141,1.15783,0.98813,0.008614,0.008614,0.008614
44,1236.91,0.91585,0.49726,0.8979,0.81503,0.55597,0.68815,0.45171,1.22851,1.31588,0.99487,0.008581,0.008581,0.008581
45,1264.81,0.9159,0.49566,0.9002,0.79898,0.56968,0.68655,0.44297,1.22905,1.13186,0.99826,0.008548,0.008548,0.008548
46,1292.52,0.90969,0.48941,0.89784,0.74838,0.57673,0.67371,0.43441,1.25087,1.33757,1.00019,0.008515,0.008515,0.008515
47,1320.34,0.90188,0.48939,0.89623,0.78653,0.54977,0.68734,0.46127,1.21544,1.34384,0.99346,0.008482,0.008482,0.008482
48,1348.02,0.9083,0.4884,0.89577,0.82821,0.58963,0.71146,0.46405,1.20918,1.25956,0.98382,0.008449,0.008449,0.008449
49,1375.91,0.90038,0.4823,0.89498,0.80485,0.56542,0.68864,0.4591,1.24135,1.3785,0.99845,0.008416,0.008416,0.008416
50,1403.65,0.90672,0.48704,0.89675,0.8181,0.58264,0.70222,0.46163,1.20788,1.26419,0.99012,0.008383,0.008383,0.008383
51,1431.63,0.89505,0.48136,0.88757,0.79896,0.59457,0.71523,0.46461,1.21365,1.16201,0.99446,0.00835,0.00835,0.00835
52,1459.69,0.89711,0.47858,0.89382,0.78436,0.58593,0.7094,0.46854,1.23354,1.34206,0.99619,0.008317,0.008317,0.008317
53,1487.38,0.88486,0.47704,0.89099,0.74229,0.58139,0.67323,0.4488,1.19203,1.23839,0.98261,0.008284,0.008284,0.008284
54,1515.28,0.89477,0.47707,0.89325,0.82593,0.55409,0.68393,0.45036,1.21436,1.17245,0.99318,0.008251,0.008251,0.008251
55,1542.94,0.89006,0.47879,0.88984,0.79698,0.56432,0.6739,0.43123,1.31446,1.42139,1.02709,0.008218,0.008218,0.008218
56,1570.85,0.88808,0.47537,0.88977,0.79326,0.57593,0.69641,0.45446,1.23131,1.21256,1.00209,0.008185,0.008185,0.008185
57,1598.52,0.88191,0.47197,0.88867,0.79647,0.60062,0.70499,0.45834,1.25017,1.15275,1.00633,0.008152,0.008152,0.008152
58,1626.21,0.87625,0.47351,0.88995,0.83506,0.58018,0.71945,0.4655,1.22009,1.18613,0.99769,0.008119,0.008119,0.008119
59,1653.91,0.88173,0.46646,0.89153,0.8329,0.5348,0.69013,0.46978,1.19741,1.49169,0.99093,0.008086,0.008086,0.008086
60,1683.22,0.86774,0.46346,0.88989,0.85414,0.6014,0.72905,0.48266,1.20525,1.16262,0.99023,0.008053,0.008053,0.008053
61,1712.83,0.87624,0.46754,0.88191,0.78791,0.58989,0.70301,0.46691,1.19516,1.17207,0.98773,0.00802,0.00802,0.00802
62,1741.18,0.86673,0.46304,0.88413,0.78086,0.53725,0.66756,0.44853,1.21714,1.53341,0.98751,0.007987,0.007987,0.007987
63,1768.86,0.86072,0.46078,0.88489,0.82287,0.54148,0.67272,0.45149,1.23056,1.46652,1.00159,0.007954,0.007954,0.007954
64,1796.6,0.85071,0.45577,0.8858,0.79487,0.5751,0.69896,0.46733,1.19484,1.29226,0.99045,0.007921,0.007921,0.007921
65,1824.21,0.86618,0.45888,0.88568,0.8092,0.57837,0.71074,0.47495,1.21497,1.27402,0.99957,0.007888,0.007888,0.007888
66,1852.08,0.86329,0.45986,0.8833,0.81669,0.58581,0.71998,0.47095,1.20913,1.16035,0.98853,0.007855,0.007855,0.007855
67,1879.73,0.85013,0.45355,0.88144,0.81901,0.55933,0.69844,0.465,1.19417,1.3155,0.99156,0.007822,0.007822,0.007822
68,1907.62,0.85503,0.45226,0.88194,0.7895,0.61847,0.71336,0.4602,1.21139,1.0601,0.99292,0.007789,0.007789,0.007789
69,1935.3,0.85109,0.45086,0.883,0.84474,0.59091,0.70632,0.4595,1.22357,1.19864,0.99841,0.007756,0.007756,0.007756
70,1962.81,0.8523,0.45314,0.87925,0.83519,0.50867,0.66989,0.45474,1.22515,1.66819,0.99786,0.007723,0.007723,0.007723
71,1990.64,0.84296,0.44644,0.87895,0.7866,0.57352,0.688,0.45506,1.20392,1.21724,0.9945,0.00769,0.00769,0.00769
72,2018.28,0.85225,0.44933,0.88059,0.77499,0.54607,0.68297,0.4561,1.20425,1.37838,0.99108,0.007657,0.007657,0.007657
73,2046.07,0.83739,0.44452,0.87856,0.79701,0.55441,0.67724,0.45136,1.21324,1.3661,0.99493,0.007624,0.007624,0.007624
74,2073.68,0.84115,0.44301,0.87516,0.79776,0.5602,0.68798,0.45188,1.21889,1.29192,0.99861,0.007591,0.007591,0.007591
75,2101.4,0.84205,0.44078,0.87744,0.8241,0.51938,0.6814,0.45866,1.22354,1.45641,1.00193,0.007558,0.007558,0.007558
76,2129.03,0.83873,0.44561,0.87788,0.77812,0.54239,0.68209,0.46684,1.19998,1.43607,0.99264,0.007525,0.007525,0.007525
77,2156.7,0.83382,0.44363,0.87506,0.77868,0.58018,0.69116,0.45468,1.21614,1.23652,0.99924,0.007492,0.007492,0.007492
78,2184.52,0.83284,0.44108,0.87928,0.76591,0.58723,0.68571,0.45066,1.19523,1.25983,0.98764,0.007459,0.007459,0.007459
79,2212.21,0.82466,0.4404,0.8735,0.7815,0.61208,0.7087,0.47151,1.18382,1.15175,0.98755,0.007426,0.007426,0.007426
80,2240.03,0.82724,0.43745,0.87518,0.81677,0.53429,0.66996,0.44736,1.21712,1.47102,0.99804,0.007393,0.007393,0.007393
81,2267.66,0.82699,0.43937,0.8763,0.78584,0.56,0.68354,0.45808,1.18322,1.33948,0.98157,0.00736,0.00736,0.00736
82,2295.55,0.81677,0.43172,0.87321,0.78682,0.52898,0.66744,0.45603,1.20568,1.51336,0.9937,0.007327,0.007327,0.007327
83,2323.16,0.82062,0.43485,0.87337,0.77923,0.5729,0.68938,0.46119,1.21654,1.39579,0.99896,0.007294,0.007294,0.007294
84,2350.78,0.82488,0.437,0.87447,0.78905,0.5559,0.69177,0.46345,1.21509,1.48306,0.99862,0.007261,0.007261,0.007261
85,2378.3,0.81467,0.43375,0.8703,0.78187,0.53968,0.68132,0.46161,1.20759,1.50069,0.99139,0.007228,0.007228,0.007228
86,2405.93,0.8183,0.43198,0.87076,0.78335,0.57397,0.68875,0.44859,1.22241,1.26832,0.99811,0.007195,0.007195,0.007195
87,2433.76,0.81852,0.43133,0.87524,0.74831,0.58873,0.691,0.46462,1.17656,1.28244,0.98738,0.007162,0.007162,0.007162
88,2461.45,0.82189,0.42689,0.87248,0.79078,0.56589,0.69708,0.46404,1.21496,1.30441,0.99852,0.007129,0.007129,0.007129
89,2489.28,0.81122,0.43091,0.87429,0.7891,0.57845,0.69725,0.4668,1.20447,1.29611,0.99328,0.007096,0.007096,0.007096
90,2516.96,0.8104,0.42905,0.87099,0.78398,0.56354,0.70066,0.47205,1.19109,1.3161,0.98951,0.007063,0.007063,0.007063
91,2544.84,0.80803,0.42556,0.87194,0.78035,0.55682,0.67553,0.45051,1.19739,1.27988,0.99278,0.00703,0.00703,0.00703
92,2572.42,0.81076,0.42609,0.86992,0.81589,0.56159,0.70404,0.47344,1.22145,1.38372,1.00014,0.006997,0.006997,0.006997
93,2600.25,0.80216,0.42407,0.86955,0.79315,0.56364,0.69513,0.46455,1.21148,1.42276,1.00118,0.006964,0.006964,0.006964
94,2627.96,0.80059,0.42509,0.87101,0.79435,0.55043,0.69686,0.4758,1.17409,1.45081,0.98784,0.006931,0.006931,0.006931
95,2655.85,0.79991,0.42377,0.8741,0.77859,0.63207,0.72359,0.4673,1.20717,1.13171,0.99179,0.006898,0.006898,0.006898
