epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2964,4.92458,16.1232,4.34043,0,0,0,0,4.85758,6.25007,3.96955,0.0757,0.0027,0.0027
2,49.7084,3.17743,7.26611,2.63658,0,0,0,0,4.25731,6.22733,3.419,0.0504819,0.00548185,0.00548185
3,70.7847,2.27402,4.96526,1.72916,0.01286,0.04358,0.00878,0.00339,2.16293,4.67828,1.80447,0.0252452,0.00824522,0.00824522
4,96.4838,1.85743,4.16335,1.37589,0.15671,0.12821,0.02558,0.01465,1.66208,11.0965,1.33478,0.009901,0.009901,0.009901
5,122.012,1.63916,3.74488,1.20984,0.14089,0.15295,0.04457,0.02189,1.73104,9.62769,1.38619,0.009868,0.009868,0.009868
6,146.341,1.52424,3.33912,1.14033,0.21392,0.22238,0.08178,0.04968,1.36415,7.65473,1.13394,0.009835,0.009835,0.009835
7,169.538,1.4084,3.03436,1.10526,0.17799,0.23109,0.10604,0.06423,1.35896,2.75743,1.12301,0.009802,0.009802,0.009802
8,193.501,1.36952,2.83519,1.08554,0.26358,0.27554,0.10674,0.06647,1.32869,5.53759,1.11055,0.009769,0.009769,0.009769
9,217.786,1.2987,2.74547,1.04935,0.31375,0.26551,0.13532,0.08459,1.19145,4.83458,1.03315,0.009736,0.009736,0.009736
10,241.066,1.30465,2.54602,1.03378,0.20181,0.30905,0.14585,0.09297,1.22985,2.38006,1.05152,0.009703,0.009703,0.009703
11,264.519,1.24401,2.4961,1.02618,0.23972,0.38787,0.16826,0.11059,1.15143,3.15809,1.02109,0.00967,0.00967,0.00967
12,287.639,1.21914,2.34524,1.01664,0.39938,0.2708,0.17177,0.1098,1.1567,2.34807,1.02061,0.009637,0.009637,0.009637
13,311.054,1.20667,2.27213,0.99016,0.30569,0.30824,0.1811,0.11777,1.11103,2.22284,0.99573,0.009604,0.009604,0.009604
14,333.623,1.17676,2.18472,0.99006,0.23059,0.32396,0.20464,0.1407,1.10266,1.86489,0.99023,0.009571,0.009571,0.009571
15,356.681,1.187,2.12446,0.98717,0.19197,0.37656,0.19518,0.13107,1.07092,2.24006,0.98494,0.009538,0.009538,0.009538
16,379.032,1.17439,2.07652,0.98179,0.299,0.34193,0.22698,0.15472,1.08013,1.77416,0.98372,0.009505,0.009505,0.009505
17,401.785,1.14035,2.04059,0.96983,0.3622,0.32462,0.24227,0.16413,1.06753,1.85999,0.9852,0.009472,0.009472,0.009472
18,424.591,1.14344,1.97602,0.9586,0.43863,0.36648,0.25981,0.17764,1.04071,1.94266,0.97001,0.009439,0.009439,0.009439
19,447.038,1.12672,1.91663,0.96378,0.30029,0.42087,0.25624,0.17643,1.06573,1.74645,0.98056,0.009406,0.009406,0.009406
20,469.506,1.11748,1.88291,0.9754,0.31135,0.37761,0.27691,0.18913,1.04257,1.64869,0.97061,0.009373,0.009373,0.009373
