epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2309,4.81616,18.7962,4.5754,0,0,0,0,4.82664,6.25247,3.93893,0.0838,0.0018,0.0018
2,40.9476,2.9641,8.53692,2.57534,0,0,0,0,3.75195,6.29193,2.90338,0.0666878,0.00368779,0.00368779
3,58.0358,2.42011,5.49451,1.8564,0,0,0,0,2.46249,5.84471,2.2259,0.049563,0.00556304,0.00556304
4,77.0165,2.11333,4.66185,1.59819,0.01466,0.21326,0.02002,0.00957,1.94058,3.86429,1.55832,0.0324257,0.00742575,0.00742575
5,98.2987,1.885,4.18273,1.37381,0.27719,0.10837,0.03267,0.01415,1.82827,3.98977,1.36438,0.0152759,0.00927592,0.00927592
6,124.34,1.74589,3.9596,1.28408,0.10481,0.13265,0.03736,0.02061,1.59754,18.85,1.35383,0.009835,0.009835,0.009835
7,146.989,1.60836,3.66269,1.16245,0.15918,0.206,0.0596,0.0318,1.53191,13.1154,1.26926,0.009802,0.009802,0.009802
8,167.523,1.49703,3.44445,1.12329,0.05489,0.26519,0.0612,0.03629,1.48573,8.39408,1.23282,0.009769,0.009769,0.009769
9,188.361,1.48155,3.15975,1.1042,0.17796,0.24609,0.09775,0.06178,1.29717,3.88196,1.10795,0.009736,0.009736,0.009736
10,208.243,1.35313,2.97707,1.07225,0.13631,0.24499,0.10754,0.06617,1.32323,2.8217,1.09009,0.009703,0.009703,0.009703
11,228.672,1.36659,2.85295,1.04655,0.28408,0.24252,0.1385,0.08997,1.22015,2.51337,1.05067,0.00967,0.00967,0.00967
12,248.4,1.29496,2.62862,1.03067,0.28202,0.30492,0.17008,0.11108,1.17814,2.13836,1.01504,0.009637,0.009637,0.009637
13,268.714,1.26482,2.56327,1.00124,0.23615,0.32475,0.16389,0.10885,1.16837,2.38236,1.02223,0.009604,0.009604,0.009604
14,288.34,1.2704,2.47989,1.00176,0.45381,0.29484,0.18843,0.11932,1.17916,2.04406,1.01235,0.009571,0.009571,0.009571
15,308.636,1.21719,2.39175,0.99622,0.207,0.35124,0.19676,0.13067,1.15767,2.05746,1.00835,0.009538,0.009538,0.009538
16,328.135,1.19747,2.27693,0.9854,0.29061,0.35191,0.22226,0.14691,1.14043,1.96146,1.01185,0.009505,0.009505,0.009505
17,348.392,1.20356,2.24645,0.98017,0.31368,0.33556,0.19887,0.13109,1.14981,2.1015,1.00277,0.009472,0.009472,0.009472
18,367.815,1.20705,2.15685,0.97854,0.40867,0.35571,0.24417,0.16227,1.09923,1.75386,0.99155,0.009439,0.009439,0.009439
19,387.927,1.15521,2.07712,0.97375,0.25247,0.36779,0.245,0.16886,1.09091,1.92231,0.98538,0.009406,0.009406,0.009406
20,407.32,1.15764,2.02103,0.96801,0.26926,0.32766,0.22623,0.15272,1.07111,1.94718,0.98538,0.009373,0.009373,0.009373
21,426.922,1.1674,1.96717,0.96822,0.35407,0.36255,0.27591,0.1863,1.1061,1.76927,0.98285,0.00934,0.00934,0.00934
22,446.824,1.10194,1.89812,0.95233,0.31348,0.40036,0.28664,0.18993,1.08169,2.15246,0.98072,0.009307,0.009307,0.009307
23,466.192,1.12597,1.83413,0.95676,0.39461,0.35879,0.29115,0.20331,1.02629,1.68332,0.9593,0.009274,0.009274,0.009274
24,485.618,1.095,1.76179,0.95533,0.34445,0.38178,0.29061,0.1971,1.0783,1.77709,0.97221,0.009241,0.009241,0.009241
25,505.685,1.12586,1.76006,0.94731,0.29712,0.34104,0.2515,0.17641,1.08664,1.89514,0.97894,0.009208,0.009208,0.009208
26,525.104,1.11146,1.60929,0.95559,0.34512,0.36662,0.31011,0.21665,1.04576,1.73557,0.96255,0.009175,0.009175,0.009175
27,545.321,1.08738,1.6292,0.94382,0.32307,0.40168,0.33202,0.23301,1.02969,1.58952,0.95872,0.009142,0.009142,0.009142
28,564.546,1.08238,1.5752,0.95609,0.34772,0.38521,0.32373,0.22853,1.06311,1.73196,0.96628,0.009109,0.009109,0.009109
29,584.606,1.06694,1.51105,0.93393,0.334,0.37636,0.31129,0.22206,1.03918,1.78514,0.96767,0.009076,0.009076,0.009076
30,603.912,1.08915,1.52003,0.94136,0.34426,0.35301,0.31088,0.22203,1.0314,1.87923,0.9589,0.009043,0.009043,0.009043
31,624,1.03638,1.45495,0.93278,0.38898,0.38241,0.31728,0.22498,1.03096,1.81191,0.9638,0.00901,0.00901,0.00901
32,643.317,1.04428,1.36552,0.93233,0.38561,0.34405,0.31973,0.22288,1.04439,1.75605,0.96227,0.008977,0.008977,0.008977
33,663.006,1.04572,1.37138,0.93681,0.4536,0.37915,0.36613,0.25999,1.00538,1.60402,0.94838,0.008944,0.008944,0.008944
34,682.333,1.0321,1.31865,0.93216,0.38266,0.40663,0.37178,0.26371,1.0285,1.5924,0.95374,0.008911,0.008911,0.008911
35,701.682,1.03633,1.32403,0.93456,0.43249,0.38148,0.3563,0.2515,1.01237,1.70022,0.94838,0.008878,0.008878,0.008878
36,721.087,1.03464,1.29195,0.92327,0.4355,0.4203,0.38832,0.2777,0.99603,1.53097,0.94682,0.008845,0.008845,0.008845
37,740.506,1.04819,1.2151,0.92937,0.42818,0.4092,0.38433,0.26848,1.01318,1.59882,0.95012,0.008812,0.008812,0.008812
38,759.899,1.02349,1.21479,0.92205,0.45277,0.42954,0.40104,0.2806,1.01501,1.57118,0.95047,0.008779,0.008779,0.008779
39,779.246,1.01024,1.19165,0.91338,0.43831,0.4029,0.39033,0.27774,0.99752,1.54922,0.94404,0.008746,0.008746,0.008746
40,798.633,1.01608,1.17385,0.91929,0.43654,0.42457,0.39254,0.27418,1.02449,1.58972,0.95207,0.008713,0.008713,0.008713
