epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7908,3.60188,5.54146,3.04926,0.28102,0.29213,0.25882,0.10608,2.24431,3.81852,1.97176,0.0702752,0.00330275,0.00330275
2,87.4202,1.98019,1.61631,1.42237,0.63551,0.52428,0.56162,0.24318,1.81703,2.49302,1.3269,0.0402533,0.00661419,0.00661419
3,129.348,1.6429,1.28521,1.18766,0.70499,0.50232,0.60427,0.29588,1.65619,2.20475,1.21065,0.0102094,0.00990362,0.00990362
4,171.082,1.44962,1.08496,1.09185,0.71157,0.54378,0.61338,0.33639,1.50329,1.45302,1.13899,0.009901,0.009901,0.009901
5,213.55,1.29629,0.89579,1.0316,0.71846,0.49628,0.59723,0.31424,1.52621,1.50797,1.11244,0.009868,0.009868,0.009868
6,255.232,1.22958,0.79075,1.00546,0.80787,0.65222,0.74706,0.45438,1.26045,1.03355,1.01125,0.009835,0.009835,0.009835
7,296.882,1.16571,0.72145,0.97821,0.75451,0.65712,0.72783,0.45315,1.20428,1.06243,1.00189,0.009802,0.009802,0.009802
8,338.859,1.10976,0.67572,0.96321,0.82229,0.65355,0.74594,0.46265,1.20203,1.02396,0.98826,0.009769,0.009769,0.009769
9,380.537,1.07894,0.63631,0.95151,0.80275,0.66733,0.76292,0.47997,1.17707,1.01176,0.97798,0.009736,0.009736,0.009736
10,422.195,1.05497,0.6062,0.94331,0.79553,0.65603,0.74803,0.45978,1.20894,1.13314,0.99511,0.009703,0.009703,0.009703
11,463.793,1.0164,0.57799,0.93379,0.78955,0.68421,0.76848,0.47688,1.19326,1.03651,0.98787,0.00967,0.00967,0.00967
12,505.439,1.00829,0.5683,0.93018,0.83517,0.66241,0.7544,0.47499,1.18304,0.98975,0.98096,0.009637,0.009637,0.009637
13,546.945,0.9812,0.54835,0.92153,0.83978,0.69835,0.79088,0.51171,1.15333,0.93079,0.97322,0.009604,0.009604,0.009604
14,588.636,0.97098,0.54202,0.91512,0.81055,0.69016,0.75899,0.48074,1.15714,0.94501,0.97471,0.009571,0.009571,0.009571
15,630.179,0.96206,0.53116,0.91452,0.81521,0.64276,0.76154,0.49959,1.16989,1.21425,0.97148,0.009538,0.009538,0.009538
16,672.094,0.94818,0.51866,0.90989,0.82699,0.70206,0.77212,0.47725,1.1859,0.92964,0.98935,0.009505,0.009505,0.009505
17,713.784,0.92577,0.50653,0.90699,0.80287,0.72807,0.80418,0.51982,1.1403,0.93935,0.96867,0.009472,0.009472,0.009472
18,755.628,0.91217,0.49756,0.90119,0.81529,0.68673,0.77835,0.49125,1.13626,0.90916,0.96917,0.009439,0.009439,0.009439
19,797.406,0.8999,0.48684,0.90135,0.77848,0.6805,0.77288,0.50715,1.1224,0.98952,0.96005,0.009406,0.009406,0.009406
