epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.662,1.39627,1.96422,0.92951,0.70629,0.56132,0.63099,0.35869,1.2464,1.11513,0.84725,0.0701754,0.00331384,0.00331384
2,154.16,1.24672,0.76319,0.87942,0.62284,0.45405,0.43571,0.26256,1.28845,2.07992,0.85915,0.0401535,0.00662524,0.00662524
3,229.926,1.29555,0.80808,0.8899,0.57479,0.46273,0.41927,0.21754,1.46809,3.32084,0.89961,0.0101096,0.00991464,0.00991464
4,307.454,1.28306,0.81731,0.89455,0.44992,0.43607,0.3523,0.19346,1.41762,3.86937,0.8825,0.009901,0.009901,0.009901
5,388.721,1.20048,0.73292,0.88057,0.72569,0.49792,0.53864,0.30544,1.33253,1.46489,0.87798,0.009868,0.009868,0.009868
6,465.989,1.14944,0.68209,0.87072,0.77277,0.56606,0.63442,0.37578,1.27099,1.00286,0.85642,0.009835,0.009835,0.009835
7,544.766,1.09972,0.63709,0.86366,0.74705,0.57635,0.64804,0.36495,1.29218,1.27526,0.85739,0.009802,0.009802,0.009802
8,623.388,1.07169,0.61295,0.85898,0.77246,0.58468,0.66713,0.38746,1.2612,0.9343,0.85322,0.009769,0.009769,0.009769
9,702.363,1.0425,0.59388,0.8527,0.74319,0.60684,0.67275,0.40466,1.21878,0.89928,0.85406,0.009736,0.009736,0.009736
10,780.54,1.03205,0.57899,0.85064,0.70173,0.53834,0.60974,0.36847,1.22263,1.12644,0.84927,0.009703,0.009703,0.009703
11,858.869,1.00191,0.55862,0.84696,0.79821,0.63202,0.71493,0.43414,1.15978,0.87074,0.8404,0.00967,0.00967,0.00967
12,940.222,0.98457,0.54593,0.8439,0.8018,0.62317,0.7121,0.44788,1.10776,0.81428,0.83849,0.009637,0.009637,0.009637
13,1017.51,0.97199,0.53603,0.84297,0.75525,0.59892,0.68059,0.41174,1.22633,0.89073,0.84968,0.009604,0.009604,0.009604
14,1096.08,0.96344,0.52889,0.83899,0.74153,0.63212,0.71236,0.42361,1.1858,0.90367,0.84532,0.009571,0.009571,0.009571
15,1174.19,0.94491,0.51373,0.83803,0.84184,0.65937,0.74887,0.47414,1.10545,0.7711,0.83978,0.009538,0.009538,0.009538
16,1253.32,0.93657,0.50569,0.83656,0.80875,0.61786,0.70091,0.44707,1.11406,0.83772,0.83642,0.009505,0.009505,0.009505
17,1330.49,0.91657,0.49427,0.83501,0.80315,0.67006,0.74743,0.48299,1.09272,0.76989,0.8366,0.009472,0.009472,0.009472
18,1408.44,0.91231,0.49079,0.83347,0.84982,0.63794,0.74409,0.46974,1.11315,0.81066,0.83682,0.009439,0.009439,0.009439
19,1489.07,0.90855,0.48718,0.83187,0.80227,0.64448,0.73302,0.46984,1.069,0.76731,0.82994,0.009406,0.009406,0.009406
20,1565.58,0.89821,0.48175,0.8299,0.79964,0.67607,0.743,0.47436,1.07454,0.78102,0.83363,0.009373,0.009373,0.009373
21,1643.44,0.88717,0.47335,0.82929,0.82548,0.65836,0.75144,0.47445,1.08661,0.74567,0.83297,0.00934,0.00934,0.00934
22,1723.85,0.88264,0.47011,0.8277,0.82,0.6896,0.76189,0.47712,1.09697,0.7381,0.83365,0.009307,0.009307,0.009307
23,1800.63,0.8735,0.46195,0.82696,0.82302,0.69264,0.75556,0.48325,1.08755,0.77551,0.83332,0.009274,0.009274,0.009274
