epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2569,3.46125,5.56703,2.92043,0.32733,0.01812,0.17279,0.10462,2.35326,4.48125,1.89359,0.0704054,0.00328829,0.00328829
2,70.6321,1.90827,1.47879,1.40485,0.62279,0.54074,0.5669,0.25912,1.70555,1.42024,1.2548,0.0403836,0.00659977,0.00659977
3,105.005,1.61494,1.23777,1.17522,0.60471,0.63387,0.65113,0.3384,1.56122,6.44897,1.23088,0.0103397,0.00988925,0.00988925
4,138.465,1.42499,1.04535,1.08745,0.77335,0.63528,0.71097,0.41398,1.30318,1.63513,1.04648,0.009901,0.009901,0.009901
5,171.946,1.27803,0.87633,1.02141,0.79234,0.63672,0.72279,0.42982,1.25288,1.46986,1.02826,0.009868,0.009868,0.009868
6,204.964,1.17885,0.77166,0.99177,0.8101,0.66369,0.75969,0.47451,1.21754,1.02338,0.99301,0.009835,0.009835,0.009835
7,238.003,1.13513,0.72026,0.97133,0.78838,0.68863,0.77231,0.46979,1.18107,1.00181,0.99602,0.009802,0.009802,0.009802
8,271.052,1.0914,0.67359,0.95043,0.76909,0.63749,0.72681,0.4532,1.25173,1.08495,1.00434,0.009769,0.009769,0.009769
9,304.083,1.05054,0.62566,0.944,0.76578,0.65703,0.73962,0.4579,1.16532,1.0883,0.98047,0.009736,0.009736,0.009736
10,337.097,1.02959,0.60407,0.93461,0.7787,0.69519,0.7533,0.4785,1.16122,1.05907,0.98088,0.009703,0.009703,0.009703
11,370.056,0.99311,0.56935,0.92744,0.80808,0.64341,0.74325,0.47311,1.24437,1.20319,0.99841,0.00967,0.00967,0.00967
12,403.085,0.9853,0.55596,0.92162,0.82434,0.62839,0.74945,0.47758,1.16793,0.98526,0.97707,0.009637,0.009637,0.009637
13,435.894,0.96142,0.54428,0.91488,0.81242,0.64442,0.77593,0.49162,1.16704,0.94984,0.98159,0.009604,0.009604,0.009604
14,468.955,0.94234,0.52669,0.91162,0.81136,0.67732,0.76482,0.48481,1.19546,0.97652,0.98706,0.009571,0.009571,0.009571
15,501.71,0.93682,0.51254,0.90479,0.80265,0.69945,0.78239,0.50562,1.13809,1.02654,0.97109,0.009538,0.009538,0.009538
16,534.702,0.9232,0.49932,0.9028,0.80598,0.72176,0.79982,0.51758,1.12244,0.8824,0.96676,0.009505,0.009505,0.009505
17,567.524,0.89957,0.48368,0.89688,0.80499,0.70838,0.78166,0.50523,1.15136,0.9919,0.96719,0.009472,0.009472,0.009472
18,600.505,0.89926,0.4856,0.89261,0.79921,0.69357,0.7788,0.50076,1.11434,0.92325,0.95939,0.009439,0.009439,0.009439
19,633.315,0.88993,0.47673,0.88783,0.81856,0.71574,0.78472,0.5099,1.11939,0.91985,0.96397,0.009406,0.009406,0.009406
20,666.267,0.87706,0.46575,0.88843,0.8242,0.72539,0.80334,0.52781,1.11412,0.91168,0.96407,0.009373,0.009373,0.009373
21,699.041,0.86927,0.46174,0.89079,0.81348,0.66009,0.76978,0.50495,1.1411,1.01069,0.97163,0.00934,0.00934,0.00934
22,732.035,0.86668,0.45835,0.88676,0.84011,0.71447,0.80621,0.52768,1.12272,0.87489,0.96029,0.009307,0.009307,0.009307
23,764.798,0.85909,0.45347,0.88662,0.83357,0.69958,0.79502,0.52457,1.11466,0.95318,0.96202,0.009274,0.009274,0.009274
24,797.714,0.84681,0.44108,0.88229,0.84811,0.65147,0.75499,0.5007,1.14757,1.15549,0.97721,0.009241,0.009241,0.009241
25,830.512,0.8438,0.44692,0.88127,0.83901,0.72886,0.80883,0.5341,1.09211,0.82643,0.96139,0.009208,0.009208,0.009208
26,863.257,0.83314,0.43374,0.88238,0.88387,0.68077,0.80564,0.53243,1.12286,0.95746,0.96431,0.009175,0.009175,0.009175
27,896.21,0.81613,0.42646,0.87642,0.86304,0.68964,0.80176,0.52525,1.13897,0.97712,0.96681,0.009142,0.009142,0.009142
28,928.891,0.81929,0.42344,0.87148,0.85286,0.67391,0.79023,0.53211,1.10339,1.04357,0.95764,0.009109,0.009109,0.009109
29,961.901,0.80837,0.41528,0.87334,0.81802,0.70299,0.79618,0.52313,1.13691,0.92293,0.96907,0.009076,0.009076,0.009076
30,994.663,0.80851,0.4212,0.87198,0.81623,0.66853,0.77367,0.52442,1.08765,1.0056,0.95164,0.009043,0.009043,0.009043
31,1027.63,0.79734,0.4143,0.86958,0.82869,0.69819,0.78975,0.51618,1.15806,0.96603,0.97442,0.00901,0.00901,0.00901
32,1060.33,0.79716,0.41525,0.86987,0.83766,0.67421,0.78414,0.52154,1.13237,1.05227,0.96801,0.008977,0.008977,0.008977
33,1093.2,0.78423,0.40718,0.87342,0.8386,0.68838,0.79138,0.52545,1.1165,0.99706,0.96048,0.008944,0.008944,0.008944
34,1125.94,0.78181,0.4023,0.86849,0.85723,0.69108,0.79934,0.54169,1.11209,1.01482,0.9569,0.008911,0.008911,0.008911
35,1158.95,0.778,0.40256,0.86753,0.86513,0.71829,0.82813,0.54581,1.09685,0.91308,0.9523,0.008878,0.008878,0.008878
36,1191.67,0.77112,0.39407,0.86499,0.84718,0.66731,0.77854,0.5169,1.13376,1.11911,0.96309,0.008845,0.008845,0.008845
37,1224.54,0.76843,0.3966,0.86215,0.86961,0.69013,0.80292,0.53783,1.10254,0.97227,0.95565,0.008812,0.008812,0.008812
38,1257.3,0.76595,0.39545,0.86392,0.82537,0.70351,0.78838,0.53073,1.09864,0.96942,0.95766,0.008779,0.008779,0.008779
39,1290.25,0.75504,0.39264,0.86514,0.8195,0.71025,0.79687,0.53175,1.1135,0.97061,0.95931,0.008746,0.008746,0.008746
40,1322.98,0.75714,0.38851,0.85939,0.82235,0.71358,0.80017,0.53552,1.09547,0.92231,0.95298,0.008713,0.008713,0.008713
41,1355.86,0.74972,0.38769,0.86164,0.84851,0.686,0.79535,0.52843,1.11458,1.0444,0.96225,0.00868,0.00868,0.00868
42,1388.63,0.74362,0.38471,0.85884,0.84471,0.70379,0.80731,0.53982,1.10478,0.97125,0.95716,0.008647,0.008647,0.008647
43,1421.59,0.75144,0.38921,0.85907,0.83497,0.72004,0.81636,0.54476,1.09352,0.90118,0.95205,0.008614,0.008614,0.008614
44,1454.29,0.74046,0.37528,0.85803,0.82772,0.6828,0.79265,0.53854,1.08929,1.01815,0.95599,0.008581,0.008581,0.008581
45,1487.17,0.72681,0.37775,0.85497,0.8479,0.66077,0.79243,0.53261,1.09899,1.07342,0.95847,0.008548,0.008548,0.008548
46,1519.85,0.72794,0.37411,0.86095,0.84908,0.72119,0.81731,0.54436,1.09745,0.90571,0.95255,0.008515,0.008515,0.008515
47,1552.71,0.72843,0.37236,0.85627,0.82522,0.68242,0.79536,0.5343,1.10798,1.11761,0.95782,0.008482,0.008482,0.008482
48,1585.44,0.72948,0.37462,0.85391,0.80863,0.71846,0.79366,0.52591,1.11724,0.95459,0.95933,0.008449,0.008449,0.008449
49,1618.2,0.72732,0.37429,0.85614,0.82899,0.70961,0.80857,0.53514,1.11971,0.98995,0.96085,0.008416,0.008416,0.008416
50,1650.88,0.71836,0.36655,0.85393,0.82675,0.63645,0.76812,0.51848,1.12165,1.20014,0.96333,0.008383,0.008383,0.008383
51,1683.72,0.71214,0.36894,0.85263,0.84121,0.70673,0.80218,0.53397,1.10522,0.96276,0.95379,0.00835,0.00835,0.00835
52,1716.45,0.71246,0.36282,0.85141,0.83981,0.67793,0.78729,0.53715,1.08811,0.98978,0.95628,0.008317,0.008317,0.008317
53,1749.32,0.7129,0.36563,0.853,0.8137,0.63997,0.76818,0.5141,1.11508,1.23961,0.95865,0.008284,0.008284,0.008284
54,1782.03,0.70803,0.36411,0.84826,0.83237,0.72274,0.81223,0.55058,1.08928,0.92966,0.95317,0.008251,0.008251,0.008251
55,1814.9,0.69982,0.36032,0.85059,0.83688,0.68793,0.79822,0.53924,1.08831,1.06761,0.9461,0.008218,0.008218,0.008218
56,1847.51,0.70449,0.36109,0.85304,0.82736,0.66482,0.77824,0.52354,1.12128,1.14943,0.96065,0.008185,0.008185,0.008185
57,1880.31,0.68569,0.35475,0.84648,0.84092,0.65464,0.78859,0.53966,1.10502,1.08803,0.95563,0.008152,0.008152,0.008152
58,1912.93,0.7008,0.36032,0.85146,0.82278,0.66599,0.78547,0.53475,1.10953,1.1218,0.96263,0.008119,0.008119,0.008119
59,1945.74,0.68979,0.35818,0.84563,0.8264,0.65342,0.77025,0.53079,1.0804,1.21719,0.95221,0.008086,0.008086,0.008086
60,1978.68,0.68222,0.34988,0.84921,0.85341,0.66871,0.79762,0.54848,1.09414,1.10489,0.95097,0.008053,0.008053,0.008053
61,2011.54,0.69363,0.35737,0.8444,0.81157,0.68542,0.79694,0.54306,1.09563,1.08661,0.95089,0.00802,0.00802,0.00802
62,2044.39,0.69057,0.35027,0.84577,0.81797,0.69856,0.79259,0.5333,1.09166,0.95383,0.95399,0.007987,0.007987,0.007987
63,2077.33,0.67738,0.34746,0.84605,0.82224,0.65641,0.78265,0.53252,1.10005,1.18686,0.95766,0.007954,0.007954,0.007954
64,2110.08,0.68064,0.34831,0.84751,0.85232,0.65871,0.79632,0.54803,1.0871,1.17974,0.95158,0.007921,0.007921,0.007921
65,2143,0.6843,0.34993,0.84361,0.85881,0.66006,0.79548,0.54318,1.09594,1.15145,0.95317,0.007888,0.007888,0.007888
66,2175.77,0.6743,0.35122,0.84108,0.81671,0.65946,0.78007,0.52419,1.08403,1.02824,0.94628,0.007855,0.007855,0.007855
67,2208.68,0.66952,0.34104,0.84504,0.85167,0.65316,0.78359,0.5333,1.0897,1.06092,0.95286,0.007822,0.007822,0.007822
68,2241.47,0.67394,0.3457,0.84778,0.8499,0.68431,0.79351,0.53838,1.07914,0.97319,0.94749,0.007789,0.007789,0.007789
69,2274.48,0.66629,0.33973,0.84243,0.83393,0.71904,0.808,0.55007,1.07402,0.96389,0.94977,0.007756,0.007756,0.007756
70,2307.14,0.67069,0.34818,0.84095,0.83556,0.65106,0.78619,0.53866,1.09725,1.16441,0.95373,0.007723,0.007723,0.007723
71,2340.08,0.66151,0.34072,0.84492,0.83117,0.68681,0.78666,0.52929,1.08714,1.01639,0.94607,0.00769,0.00769,0.00769
72,2372.73,0.66523,0.34416,0.8408,0.83909,0.68147,0.80516,0.55172,1.06933,1.09112,0.9464,0.007657,0.007657,0.007657
73,2405.64,0.6544,0.33566,0.84232,0.8237,0.70128,0.80764,0.55241,1.07155,1.05553,0.94736,0.007624,0.007624,0.007624
74,2438.39,0.65617,0.33925,0.84582,0.83705,0.66016,0.79802,0.5434,1.10399,1.15569,0.95763,0.007591,0.007591,0.007591
75,2471.27,0.65405,0.33862,0.83773,0.84256,0.67204,0.79821,0.54428,1.08278,1.00077,0.95087,0.007558,0.007558,0.007558
76,2504.01,0.65251,0.33465,0.84126,0.84849,0.70595,0.82276,0.5458,1.09888,0.87092,0.95281,0.007525,0.007525,0.007525
77,2536.69,0.65108,0.33235,0.84295,0.84437,0.69289,0.81074,0.54578,1.10729,1.05056,0.95795,0.007492,0.007492,0.007492
78,2569.49,0.64988,0.33449,0.84152,0.83886,0.67451,0.79747,0.53968,1.09952,1.08794,0.95632,0.007459,0.007459,0.007459
79,2602.16,0.64717,0.33143,0.83921,0.85458,0.69117,0.80156,0.54365,1.08204,0.92335,0.95093,0.007426,0.007426,0.007426
80,2635.07,0.64683,0.33094,0.83792,0.84343,0.69761,0.81538,0.55551,1.09152,1.03185,0.95193,0.007393,0.007393,0.007393
81,2667.82,0.64629,0.32891,0.84325,0.84741,0.66667,0.7948,0.53429,1.09131,1.08259,0.95306,0.00736,0.00736,0.00736
82,2700.71,0.64111,0.32859,0.839,0.84008,0.66817,0.79113,0.53558,1.10172,1.12752,0.9555,0.007327,0.007327,0.007327
83,2733.36,0.63454,0.32911,0.83561,0.82469,0.71808,0.80689,0.53811,1.09546,0.96139,0.95093,0.007294,0.007294,0.007294
84,2766.29,0.63324,0.32276,0.83594,0.85109,0.68457,0.81176,0.5432,1.09562,0.98999,0.95329,0.007261,0.007261,0.007261
85,2799.02,0.64046,0.32841,0.83795,0.84809,0.67865,0.79618,0.535,1.10305,1.01951,0.95837,0.007228,0.007228,0.007228
86,2831.79,0.63487,0.32638,0.83563,0.81387,0.67644,0.79352,0.54549,1.07604,1.06805,0.94965,0.007195,0.007195,0.007195
87,2864.39,0.63576,0.32469,0.83642,0.84275,0.61933,0.7666,0.52615,1.09391,1.27102,0.95316,0.007162,0.007162,0.007162
88,2897.16,0.62418,0.32394,0.83627,0.85027,0.64093,0.78905,0.54584,1.09497,1.19069,0.95468,0.007129,0.007129,0.007129
89,2929.86,0.62399,0.31872,0.832,0.83874,0.67042,0.79845,0.54513,1.09728,1.05722,0.95715,0.007096,0.007096,0.007096
90,2962.61,0.61694,0.31683,0.83694,0.81914,0.66299,0.78281,0.53679,1.09966,1.12598,0.9578,0.007063,0.007063,0.007063
91,2995.26,0.62449,0.32222,0.8337,0.80364,0.6996,0.79308,0.53769,1.08807,0.99547,0.95206,0.00703,0.00703,0.00703
92,3027.96,0.63658,0.32556,0.83917,0.837,0.66167,0.79499,0.54209,1.08845,1.08276,0.95149,0.006997,0.006997,0.006997
93,3060.55,0.61998,0.32185,0.83586,0.81724,0.65364,0.78279,0.54009,1.09153,1.16221,0.95211,0.006964,0.006964,0.006964
94,3093.25,0.62399,0.31837,0.83557,0.84206,0.64731,0.77719,0.53809,1.0906,1.15642,0.95393,0.006931,0.006931,0.006931
95,3125.99,0.62134,0.31736,0.83235,0.83449,0.65011,0.78611,0.53906,1.08579,1.15187,0.95274,0.006898,0.006898,0.006898
