epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.209,4.29179,13.242,3.70638,0,0,0,0,4.87207,6.24795,3.93351,0.070625,0.00326389,0.00326389
2,60.688,2.32212,5.39666,1.82283,0.01819,0.16949,0.02071,0.0102,1.93781,4.11305,1.64576,0.0406032,0.00657545,0.00657545
3,93.8758,1.745,3.94691,1.28804,0.19078,0.18749,0.06176,0.0315,1.59769,9.62919,1.28236,0.0105595,0.00986501,0.00986501
4,130.659,1.51309,3.28037,1.11072,0.17245,0.29596,0.1194,0.06596,1.38451,9.91284,1.18056,0.009901,0.009901,0.009901
5,163.311,1.31719,2.70023,1.01397,0.26983,0.30985,0.20049,0.12315,1.22809,6.4723,1.0897,0.009868,0.009868,0.009868
6,193.39,1.24852,2.32468,0.9894,0.28679,0.35252,0.23969,0.15635,1.11018,2.02463,1.00687,0.009835,0.009835,0.009835
7,223.992,1.17148,2.14514,0.97758,0.31804,0.39454,0.25641,0.16642,1.14767,2.62946,1.02209,0.009802,0.009802,0.009802
8,253.738,1.16161,1.91126,0.97166,0.34889,0.40945,0.31328,0.2144,1.06156,1.96263,0.98086,0.009769,0.009769,0.009769
9,283.73,1.09778,1.77255,0.94624,0.3196,0.40617,0.30518,0.20267,1.08136,2.06076,0.98916,0.009736,0.009736,0.009736
10,313.503,1.06687,1.63984,0.93451,0.41789,0.39612,0.35881,0.248,1.04206,1.74012,0.97815,0.009703,0.009703,0.009703
11,343.304,1.0489,1.52222,0.94301,0.3579,0.40317,0.34581,0.24231,1.01066,1.89569,0.9678,0.00967,0.00967,0.00967
12,373.177,1.0651,1.43886,0.9286,0.42862,0.41156,0.35649,0.23987,1.03065,1.73568,0.96552,0.009637,0.009637,0.009637
13,402.837,1.00222,1.35711,0.91791,0.44522,0.42316,0.41026,0.28673,1.00771,1.60033,0.95609,0.009604,0.009604,0.009604
14,432.76,1.01943,1.29323,0.92314,0.40876,0.4463,0.40344,0.28288,1.01784,1.84464,0.95963,0.009571,0.009571,0.009571
15,462.237,0.99104,1.22202,0.91529,0.44628,0.46715,0.43898,0.31075,0.98477,1.44095,0.94762,0.009538,0.009538,0.009538
16,492.023,0.97158,1.15807,0.91453,0.4538,0.46317,0.4362,0.30935,0.98139,1.47133,0.9444,0.009505,0.009505,0.009505
17,521.475,0.96477,1.09138,0.90398,0.46047,0.42948,0.4089,0.28235,1.00939,1.60747,0.95466,0.009472,0.009472,0.009472
18,551.102,0.95319,1.052,0.89475,0.44901,0.43648,0.40792,0.28826,0.98491,1.65141,0.9528,0.009439,0.009439,0.009439
19,580.703,0.948,1.03152,0.9009,0.43782,0.4689,0.43653,0.30882,0.99008,1.55958,0.94592,0.009406,0.009406,0.009406
20,610.259,0.93385,0.96803,0.8931,0.48389,0.47704,0.4654,0.32964,0.97514,1.40465,0.93917,0.009373,0.009373,0.009373
21,639.864,0.93259,0.9697,0.89875,0.54346,0.47805,0.49281,0.35329,0.95122,1.34858,0.93604,0.00934,0.00934,0.00934
22,669.309,0.91383,0.93888,0.88798,0.53898,0.47813,0.50866,0.36327,0.97026,1.30224,0.93982,0.009307,0.009307,0.009307
23,699.048,0.91682,0.93022,0.886,0.51052,0.475,0.48919,0.35044,0.96111,1.35935,0.94045,0.009274,0.009274,0.009274
24,728.795,0.89286,0.89928,0.88596,0.55017,0.49462,0.50468,0.36016,0.96544,1.42783,0.93522,0.009241,0.009241,0.009241
25,758.47,0.91182,0.86828,0.88162,0.52275,0.48755,0.50428,0.35957,0.95461,1.27885,0.9333,0.009208,0.009208,0.009208
26,787.918,0.87911,0.85963,0.87777,0.59715,0.49522,0.52575,0.38131,0.93612,1.20651,0.92972,0.009175,0.009175,0.009175
27,817.509,0.88483,0.85036,0.87855,0.51044,0.49876,0.5043,0.35529,0.97177,1.33244,0.93635,0.009142,0.009142,0.009142
28,847.07,0.88067,0.83375,0.88062,0.54441,0.51195,0.53166,0.37795,0.96756,1.26997,0.93206,0.009109,0.009109,0.009109
29,876.45,0.85293,0.79809,0.87405,0.61109,0.49601,0.54881,0.39439,0.95033,1.22891,0.92774,0.009076,0.009076,0.009076
30,905.995,0.84124,0.77972,0.8731,0.55143,0.51843,0.53281,0.3855,0.94028,1.25426,0.9284,0.009043,0.009043,0.009043
31,935.471,0.85303,0.76865,0.87409,0.6098,0.50672,0.55505,0.39976,0.93486,1.19539,0.92673,0.00901,0.00901,0.00901
32,965.008,0.83607,0.76508,0.87201,0.59015,0.49209,0.52863,0.38316,0.93565,1.24799,0.92874,0.008977,0.008977,0.008977
33,994.367,0.83954,0.73366,0.8642,0.58982,0.54084,0.55713,0.40263,0.93328,1.15294,0.9271,0.008944,0.008944,0.008944
34,1024.08,0.82786,0.74556,0.87397,0.5965,0.53955,0.5573,0.4017,0.93044,1.18671,0.92269,0.008911,0.008911,0.008911
