epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1146,6.16624,70.4283,4.3297,0,0,0,0,6.10122,5.527,4.15447,0.0838,0.0018,0.0018
2,40.274,4.41705,23.8266,3.21309,0,0,0,0,6.05174,5.79538,4.05132,0.0666878,0.00368779,0.00368779
3,55.5923,3.06785,5.76486,1.81456,0,0,0,0,5.64802,5.77603,2.99604,0.049563,0.00556304,0.00556304
4,69.8971,2.61508,4.37182,1.38881,0,0,0,0,2.45101,5.06222,1.35786,0.0324257,0.00742575,0.00742575
5,86.6377,2.2669,3.82386,1.19848,0.03149,0.0903,0.02436,0.01253,1.89688,4.0246,1.13015,0.0152759,0.00927592,0.00927592
6,103.714,1.99796,3.46608,1.07392,0.17972,0.08661,0.0506,0.02602,1.73953,2.76628,1.04329,0.009835,0.009835,0.009835
7,121.488,1.79082,3.07076,1.00269,0.22925,0.17879,0.08135,0.03993,1.71329,2.54339,1.01925,0.009802,0.009802,0.009802
8,138.687,1.60834,2.79436,0.9404,0.20448,0.19909,0.12453,0.06729,1.64118,2.47865,1.0075,0.009769,0.009769,0.009769
9,156.714,1.51386,2.55913,0.95728,0.21462,0.28876,0.16937,0.09775,1.37381,2.00561,0.91956,0.009736,0.009736,0.009736
10,173.969,1.42437,2.27873,0.90676,0.34893,0.30007,0.19859,0.12137,1.23819,1.8488,0.89689,0.009703,0.009703,0.009703
11,191.938,1.36173,2.15941,0.91052,0.27899,0.35898,0.23616,0.14877,1.20113,1.81659,0.89559,0.00967,0.00967,0.00967
12,209.157,1.27671,2.02755,0.89902,0.34281,0.35182,0.26502,0.16803,1.14478,1.86122,0.88333,0.009637,0.009637,0.009637
13,226.98,1.27299,1.92093,0.89454,0.35295,0.36325,0.28427,0.17544,1.1393,1.80546,0.87645,0.009604,0.009604,0.009604
14,244.351,1.21261,1.8258,0.88653,0.42582,0.35453,0.31568,0.20435,1.05321,1.61345,0.87406,0.009571,0.009571,0.009571
15,262.259,1.21192,1.72473,0.88428,0.40117,0.39983,0.33582,0.22136,1.04533,1.54575,0.86891,0.009538,0.009538,0.009538
16,279.524,1.22668,1.70582,0.88247,0.37478,0.42241,0.35511,0.23644,1.03165,1.4274,0.86158,0.009505,0.009505,0.009505
17,297.427,1.17765,1.65869,0.87869,0.43376,0.38529,0.33758,0.23349,0.98802,1.53797,0.86794,0.009472,0.009472,0.009472
18,314.617,1.15765,1.59841,0.86781,0.43703,0.40489,0.3735,0.26368,0.93962,1.35127,0.8552,0.009439,0.009439,0.009439
19,332.523,1.09252,1.50449,0.86287,0.348,0.44677,0.36822,0.25332,0.98608,1.49747,0.85342,0.009406,0.009406,0.009406
20,349.778,1.09033,1.52966,0.86288,0.45201,0.42047,0.38837,0.27187,0.97361,1.48608,0.858,0.009373,0.009373,0.009373
21,367.781,1.15366,1.49162,0.87475,0.44435,0.42264,0.39528,0.27436,0.96551,1.48255,0.85643,0.00934,0.00934,0.00934
22,385.556,1.06489,1.42929,0.85767,0.48458,0.44198,0.43387,0.29784,0.98284,1.2636,0.85192,0.009307,0.009307,0.009307
23,404.05,1.07626,1.40706,0.86095,0.42961,0.43848,0.39911,0.27189,1.02121,1.38634,0.86735,0.009274,0.009274,0.009274
24,421.542,1.09525,1.37475,0.85402,0.4925,0.47411,0.47462,0.33033,0.92703,1.15319,0.8544,0.009241,0.009241,0.009241
25,439.642,1.05142,1.31261,0.86242,0.47151,0.45757,0.44958,0.31916,0.93731,1.27246,0.84441,0.009208,0.009208,0.009208
26,457.068,1.0512,1.30871,0.86361,0.52531,0.47998,0.49597,0.35372,0.90821,1.17632,0.84569,0.009175,0.009175,0.009175
27,475.302,1.02977,1.29672,0.85137,0.47818,0.50174,0.4794,0.33794,0.92183,1.14128,0.84806,0.009142,0.009142,0.009142
28,492.85,1.02977,1.23644,0.85857,0.50696,0.4748,0.47781,0.34002,0.90025,1.18877,0.84221,0.009109,0.009109,0.009109
29,511.009,1.03109,1.27269,0.85789,0.51148,0.52114,0.52161,0.37435,0.90244,1.08685,0.84211,0.009076,0.009076,0.009076
30,528.495,1.0029,1.20753,0.85183,0.47837,0.46325,0.45292,0.31096,0.95633,1.37326,0.84586,0.009043,0.009043,0.009043
31,546.506,1.03015,1.18534,0.85216,0.5677,0.48661,0.51765,0.36917,0.90605,1.11279,0.84026,0.00901,0.00901,0.00901
32,563.889,0.99568,1.15695,0.84666,0.49154,0.48103,0.49342,0.36169,0.88911,1.16715,0.84277,0.008977,0.008977,0.008977
