epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4079,4.20531,15.6388,3.76146,0,0,0,0,4.69179,6.30026,3.63434,0.0721,0.0031,0.0031
2,52.4849,2.26162,5.63899,1.68156,0,0,0,0,2.01761,5.75279,1.88365,0.0432792,0.00627921,0.00627921
3,78.7069,1.81328,4.22609,1.29756,0.30959,0.06372,0.03404,0.01706,1.73952,3.3338,1.38598,0.0144373,0.0094373,0.0094373
4,108.468,1.57793,3.46325,1.17869,0.14095,0.32546,0.10878,0.0611,1.42255,13.0782,1.23421,0.009901,0.009901,0.009901
5,134.927,1.36594,2.95392,1.03967,0.32152,0.29577,0.14568,0.08909,1.31139,3.60378,1.11927,0.009868,0.009868,0.009868
6,162.019,1.28692,2.72336,1.00581,0.37902,0.30908,0.19695,0.12551,1.20527,4.93557,1.06495,0.009835,0.009835,0.009835
7,188.553,1.22672,2.38283,0.98745,0.33341,0.34219,0.23649,0.15477,1.13482,3.7217,1.02182,0.009802,0.009802,0.009802
8,214.706,1.14523,2.13966,0.96353,0.34247,0.36881,0.29964,0.20302,1.09589,2.55846,1.00412,0.009769,0.009769,0.009769
9,240.71,1.13332,2.05048,0.9643,0.28467,0.38401,0.31014,0.21372,1.09024,1.98007,0.99442,0.009736,0.009736,0.009736
10,266.92,1.08747,1.89417,0.94359,0.33308,0.40604,0.31963,0.216,1.10877,2.04087,1.00132,0.009703,0.009703,0.009703
11,293.069,1.06288,1.68873,0.93535,0.40327,0.40434,0.33416,0.22984,1.03024,2.03279,0.96958,0.00967,0.00967,0.00967
12,319.116,1.05442,1.58162,0.91793,0.42981,0.41204,0.39217,0.27249,1.02225,1.79851,0.96786,0.009637,0.009637,0.009637
13,345.442,1.03103,1.48621,0.91477,0.43941,0.42192,0.39664,0.26822,1.07925,1.72635,0.98552,0.009604,0.009604,0.009604
14,371.396,0.9835,1.3512,0.90913,0.43206,0.45355,0.41767,0.29108,1.02939,1.65881,0.95893,0.009571,0.009571,0.009571
15,397.787,1.01984,1.37112,0.90776,0.44749,0.4292,0.41012,0.27989,1.05989,1.71841,0.97256,0.009538,0.009538,0.009538
16,423.719,0.96771,1.22216,0.916,0.46275,0.48185,0.45288,0.31603,1.01337,1.50005,0.96464,0.009505,0.009505,0.009505
17,449.767,0.97904,1.17607,0.90833,0.48453,0.44528,0.44942,0.30979,1.06725,1.46679,0.98087,0.009472,0.009472,0.009472
18,475.768,0.97041,1.10838,0.90214,0.50884,0.46549,0.46561,0.32494,1.00333,1.39002,0.95231,0.009439,0.009439,0.009439
19,501.896,0.93055,1.09484,0.89777,0.45096,0.47842,0.44094,0.31233,0.98962,1.59647,0.95567,0.009406,0.009406,0.009406
20,527.757,0.93835,1.05068,0.88668,0.52851,0.47814,0.45992,0.31361,1.03384,1.47968,0.95555,0.009373,0.009373,0.009373
21,553.936,0.94789,1.02619,0.88896,0.48952,0.48321,0.46426,0.33097,0.97673,1.51451,0.94346,0.00934,0.00934,0.00934
22,580.085,0.91077,0.96828,0.89212,0.51991,0.5278,0.51923,0.37114,0.95947,1.33491,0.93643,0.009307,0.009307,0.009307
23,606.094,0.93354,0.9717,0.88625,0.56787,0.494,0.50804,0.36117,0.96237,1.33494,0.93679,0.009274,0.009274,0.009274
24,632.036,0.88828,0.90693,0.88107,0.56133,0.54324,0.53859,0.38341,0.98116,1.28105,0.94209,0.009241,0.009241,0.009241
25,657.959,0.90746,0.92174,0.87871,0.55875,0.50434,0.52278,0.37346,0.95744,1.31513,0.93722,0.009208,0.009208,0.009208
26,684.005,0.87408,0.86433,0.87282,0.52716,0.49094,0.50996,0.36341,0.96884,1.33519,0.93818,0.009175,0.009175,0.009175
27,709.927,0.89151,0.87508,0.87251,0.51585,0.53547,0.52443,0.37279,0.97051,1.3913,0.93583,0.009142,0.009142,0.009142
28,735.851,0.87376,0.79344,0.87841,0.53761,0.49171,0.52512,0.37678,0.95929,1.31853,0.93163,0.009109,0.009109,0.009109
29,761.598,0.83973,0.79416,0.85614,0.53455,0.52678,0.52483,0.37544,0.95639,1.30678,0.93181,0.009076,0.009076,0.009076
30,787.534,0.82753,0.7829,0.86782,0.54455,0.50727,0.52348,0.37898,0.93837,1.28974,0.92655,0.009043,0.009043,0.009043
31,813.396,0.87154,0.78145,0.87541,0.58841,0.5421,0.55705,0.40313,0.94007,1.20583,0.92984,0.00901,0.00901,0.00901
