epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2058,1.65634,3.11017,0.98939,0.00154,0.22087,0.12476,0.07323,1.53018,3.94964,0.88192,0.0704054,0.00328829,0.00328829
2,91.7234,1.47938,1.3343,0.93029,0.79415,0.27459,0.4343,0.24028,1.55323,2.14455,0.89664,0.0403836,0.00659977,0.00659977
3,132.917,1.48039,1.18297,0.92563,0.54941,0.4241,0.4158,0.20741,1.6107,4.32595,0.92547,0.0103397,0.00988925,0.00988925
4,175.443,1.44586,1.09304,0.92012,0.47567,0.364,0.32255,0.17402,1.5368,5.90952,0.92137,0.009901,0.009901,0.009901
5,216.209,1.34669,0.92704,0.90221,0.69532,0.39384,0.43962,0.24646,1.4813,1.67304,0.90716,0.009868,0.009868,0.009868
6,258.816,1.27164,0.83886,0.89157,0.70896,0.47698,0.5249,0.31378,1.35272,1.19049,0.87103,0.009835,0.009835,0.009835
7,299.768,1.23301,0.78077,0.88294,0.65831,0.51831,0.565,0.32656,1.37519,1.65602,0.87643,0.009802,0.009802,0.009802
8,342.134,1.19584,0.72837,0.87966,0.7271,0.49012,0.54247,0.32414,1.33267,1.14434,0.86916,0.009769,0.009769,0.009769
9,379.794,1.16157,0.70995,0.87012,0.76708,0.53469,0.59571,0.34628,1.32559,1.06343,0.8686,0.009736,0.009736,0.009736
10,419.282,1.13596,0.67901,0.86643,0.70762,0.52446,0.56865,0.34278,1.2808,1.01995,0.86179,0.009703,0.009703,0.009703
11,461.995,1.11997,0.6658,0.86401,0.73778,0.49182,0.54287,0.33226,1.28156,1.26192,0.86544,0.00967,0.00967,0.00967
12,500.323,1.09481,0.64018,0.8605,0.75057,0.5575,0.61423,0.37169,1.24298,1.02714,0.85987,0.009637,0.009637,0.009637
13,540.109,1.08113,0.63171,0.85529,0.73737,0.56273,0.61065,0.35053,1.28613,0.99279,0.85835,0.009604,0.009604,0.009604
14,583.148,1.06085,0.6139,0.85585,0.75522,0.56241,0.61566,0.36792,1.24079,0.9728,0.85429,0.009571,0.009571,0.009571
15,620.691,1.05346,0.61039,0.85101,0.72889,0.53077,0.60852,0.36658,1.24754,1.00469,0.85592,0.009538,0.009538,0.009538
16,660.891,1.03816,0.59716,0.85147,0.70536,0.60218,0.62995,0.37192,1.23533,0.92566,0.85413,0.009505,0.009505,0.009505
17,704.465,1.02827,0.5842,0.85129,0.77948,0.56509,0.63283,0.37789,1.21685,0.90193,0.85051,0.009472,0.009472,0.009472
18,741.345,1.01936,0.57103,0.84745,0.76777,0.54352,0.63285,0.37687,1.24884,0.92127,0.8535,0.009439,0.009439,0.009439
19,779.886,1.01686,0.56626,0.84854,0.77043,0.55484,0.63717,0.37963,1.21637,0.97233,0.85231,0.009406,0.009406,0.009406
20,820.173,1.01119,0.56352,0.84652,0.73771,0.57226,0.64415,0.39141,1.19827,0.92945,0.84881,0.009373,0.009373,0.009373
21,861.347,0.98489,0.54602,0.84461,0.72821,0.57152,0.62772,0.38941,1.19501,0.97761,0.84805,0.00934,0.00934,0.00934
