epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2826,1.53991,6.69232,0.89563,0,0,0,0,1.31006,5.0202,0.83269,0.0705,0.00327778,0.00327778
2,90.9361,1.57896,4.72052,0.8817,0.5488,0.06788,0.06134,0.03299,1.53497,2.91319,0.9046,0.0404782,0.00658929,0.00658929
3,132.283,1.56452,3.88736,0.90195,0.25679,0.2165,0.08038,0.04274,1.48801,10.018,0.94806,0.0104344,0.00987881,0.00987881
4,174.801,1.48067,3.43841,0.90455,0.11497,0.19775,0.06947,0.04095,1.50628,7.15275,0.94897,0.009901,0.009901,0.009901
5,216.234,1.34431,2.82579,0.87811,0.34253,0.28191,0.15977,0.09218,1.30087,4.87677,0.8963,0.009868,0.009868,0.009868
6,257.377,1.26842,2.40817,0.87102,0.31035,0.2575,0.14729,0.09448,1.16768,3.25985,0.87038,0.009835,0.009835,0.009835
7,297.869,1.21475,2.14229,0.86394,0.44907,0.29715,0.24262,0.15694,1.15635,2.21012,0.87518,0.009802,0.009802,0.009802
8,337.976,1.18386,1.96279,0.85873,0.36178,0.35592,0.24478,0.16571,1.10065,1.85986,0.85639,0.009769,0.009769,0.009769
9,378.446,1.17343,1.80599,0.8584,0.41794,0.35597,0.29489,0.18933,1.08788,1.70046,0.85833,0.009736,0.009736,0.009736
10,418.845,1.13646,1.72889,0.85311,0.33236,0.37428,0.28484,0.18831,1.08374,1.81409,0.86063,0.009703,0.009703,0.009703
11,459.48,1.13529,1.64794,0.85111,0.35494,0.38393,0.31928,0.21872,1.01838,1.56736,0.84856,0.00967,0.00967,0.00967
12,499.379,1.08885,1.56941,0.84603,0.40652,0.35298,0.30092,0.20333,1.03874,1.65085,0.85452,0.009637,0.009637,0.009637
13,539.676,1.08089,1.54571,0.84397,0.37017,0.42916,0.35681,0.24474,1.02086,1.41256,0.84684,0.009604,0.009604,0.009604
14,580.158,1.08499,1.49782,0.84435,0.41113,0.40948,0.3661,0.24712,1.03952,1.38952,0.84956,0.009571,0.009571,0.009571
15,620.776,1.06259,1.45311,0.84092,0.44323,0.41416,0.37532,0.25883,0.98547,1.40219,0.84775,0.009538,0.009538,0.009538
16,660.6,1.05698,1.42346,0.84015,0.42017,0.44645,0.38261,0.26928,0.96352,1.49012,0.8402,0.009505,0.009505,0.009505
