epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.4546,1.40729,2.15347,0.94037,0.70725,0.54767,0.59194,0.33153,1.35641,1.21074,0.86238,0.0702158,0.00330935,0.00330935
2,128.692,1.31089,0.80352,0.88965,0.65989,0.47826,0.5345,0.30337,1.38282,1.5491,0.87553,0.0401939,0.00662076,0.00662076
3,190.191,1.35808,0.85529,0.90576,0.47209,0.378,0.34513,0.17415,1.59841,8.12447,0.93338,0.01015,0.00991018,0.00991018
4,251.292,1.33914,0.87047,0.91071,0.6289,0.37914,0.38406,0.20333,1.51739,2.20645,0.90717,0.009901,0.009901,0.009901
5,312.357,1.21541,0.75303,0.8915,0.75169,0.51382,0.54267,0.32251,1.3114,1.41805,0.86904,0.009868,0.009868,0.009868
6,373.218,1.16884,0.69853,0.88021,0.70092,0.53606,0.61984,0.35156,1.34474,1.02773,0.88103,0.009835,0.009835,0.009835
7,434.408,1.12371,0.66107,0.86959,0.72653,0.58489,0.65282,0.38432,1.28422,0.97148,0.86842,0.009802,0.009802,0.009802
8,495.562,1.08866,0.6294,0.86581,0.75116,0.5997,0.66067,0.38264,1.26702,0.97606,0.85621,0.009769,0.009769,0.009769
9,556.467,1.06913,0.61044,0.85744,0.69442,0.55551,0.58579,0.34218,1.30062,1.39476,0.86656,0.009736,0.009736,0.009736
10,617.491,1.0471,0.59355,0.85664,0.80441,0.57711,0.67757,0.41437,1.2082,0.92999,0.85445,0.009703,0.009703,0.009703
11,678.356,1.02981,0.57464,0.85398,0.79391,0.62711,0.71217,0.42399,1.20239,0.88336,0.85279,0.00967,0.00967,0.00967
12,739.263,0.98946,0.55708,0.84671,0.75837,0.58704,0.66794,0.40263,1.23624,1.00921,0.85634,0.009637,0.009637,0.009637
13,800.314,0.97142,0.54755,0.84608,0.81983,0.64123,0.72211,0.44712,1.11047,0.8693,0.83958,0.009604,0.009604,0.009604
