epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.5448,1.22241,6.04387,0.86765,0.39886,0.253,0.16693,0.10807,1.14564,2.23914,0.84816,0.0702752,0.00330275,0.00330275
2,127.448,1.25098,2.39398,0.85827,0.47756,0.26875,0.23173,0.13956,1.18745,3.17585,0.86746,0.0402533,0.00661419,0.00661419
3,371.797,1.37931,2.09589,0.88471,0.08271,0.18453,0.06474,0.03502,1.51965,inf,0.98212,0.0102094,0.00990362,0.00990362
4,431.418,1.31239,1.98583,0.89738,0.42712,0.20177,0.13498,0.0788,1.35227,5.0318,0.93909,0.009901,0.009901,0.009901
5,490.488,1.23128,1.75634,0.87831,0.61169,0.17848,0.18797,0.11461,1.16314,3.06705,0.87797,0.009868,0.009868,0.009868
6,549.085,1.15219,1.62644,0.86118,0.39066,0.33846,0.25651,0.16616,1.07732,2.11573,0.85895,0.009835,0.009835,0.009835
7,607.948,1.12417,1.54056,0.85771,0.42975,0.34463,0.30554,0.2047,1.01266,2.07737,0.85199,0.009802,0.009802,0.009802
8,666.425,1.07555,1.4865,0.8496,0.46608,0.38775,0.333,0.22228,1.00865,1.54085,0.85206,0.009769,0.009769,0.009769
9,725.012,1.05027,1.43122,0.84769,0.43389,0.37771,0.35303,0.23556,1.02213,1.52506,0.85559,0.009736,0.009736,0.009736
10,783.569,1.06191,1.40337,0.84205,0.41737,0.41965,0.38031,0.25522,0.9823,1.41464,0.84418,0.009703,0.009703,0.009703
11,842.079,1.027,1.34183,0.8393,0.39548,0.44645,0.39111,0.2683,0.96186,1.37623,0.84252,0.00967,0.00967,0.00967
12,900.472,1.01788,1.30797,0.83502,0.47194,0.44364,0.42755,0.30218,0.94382,1.28463,0.84279,0.009637,0.009637,0.009637
13,959.034,1.00432,1.27995,0.83727,0.50356,0.43544,0.44986,0.31787,0.91247,1.22295,0.83103,0.009604,0.009604,0.009604
14,1017.48,0.97796,1.26397,0.83228,0.47372,0.36278,0.34696,0.24669,0.95152,1.50873,0.83943,0.009571,0.009571,0.009571
15,1075.94,0.97688,1.21244,0.83005,0.51332,0.49415,0.48834,0.35071,0.89755,1.12368,0.83312,0.009538,0.009538,0.009538
16,1134.57,0.98628,1.21178,0.83414,0.48234,0.48663,0.48072,0.343,0.9057,1.14332,0.83006,0.009505,0.009505,0.009505
17,1193.14,0.9633,1.16843,0.83145,0.56858,0.489,0.5161,0.37187,0.87512,1.08416,0.8266,0.009472,0.009472,0.009472
18,1251.56,0.95527,1.155,0.82802,0.51202,0.49917,0.49896,0.35998,0.87823,1.09876,0.82671,0.009439,0.009439,0.009439
19,1310.05,0.96272,1.15595,0.83091,0.60351,0.46868,0.5024,0.36164,0.8787,1.11866,0.82594,0.009406,0.009406,0.009406
20,1368.6,0.96275,1.14076,0.82791,0.53763,0.52532,0.53167,0.38542,0.86432,1.06123,0.82582,0.009373,0.009373,0.009373
21,1427.1,0.94096,1.10694,0.83414,0.57075,0.54221,0.55555,0.40234,0.87468,1.01048,0.82827,0.00934,0.00934,0.00934
22,1485.41,0.94868,1.08393,0.82636,0.58082,0.51804,0.5489,0.40097,0.86887,1.04424,0.82758,0.009307,0.009307,0.009307
23,1543.67,0.92945,1.07324,0.82718,0.57291,0.54674,0.56266,0.4099,0.85337,1.00705,0.82227,0.009274,0.009274,0.009274
24,1602.06,0.92821,1.05295,0.82707,0.55445,0.52786,0.55204,0.40372,0.8579,0.99893,0.82626,0.009241,0.009241,0.009241
25,1660.8,0.93194,1.04125,0.82537,0.6025,0.474,0.52246,0.38001,0.87506,1.11192,0.82698,0.009208,0.009208,0.009208
26,1719.21,0.92008,1.03172,0.82097,0.55564,0.5505,0.57073,0.4185,0.84922,0.95876,0.82471,0.009175,0.009175,0.009175
27,1777.73,0.92217,1.01764,0.82642,0.61086,0.56021,0.60815,0.44997,0.83482,0.90105,0.8216,0.009142,0.009142,0.009142
28,1836.25,0.91426,1.01162,0.82249,0.58326,0.55279,0.57041,0.41508,0.84129,1.0159,0.82065,0.009109,0.009109,0.009109
29,1894.85,0.91613,0.99639,0.82512,0.61383,0.55198,0.58949,0.43455,0.83593,0.93081,0.82209,0.009076,0.009076,0.009076
30,1953.23,0.90795,0.96891,0.82191,0.63477,0.55879,0.61027,0.45335,0.82274,0.86685,0.82016,0.009043,0.009043,0.009043
